start	end	corpus	sent_id	left	node	right	node_sentences
129	140	ind_newscrawl_2016_1M	599074	Namun, untuk menambah pengetahuan dan keahliannya di bidang fotografi, Karina mengikuti kursus secara online yang tidak memakan	banyak waktu	.	Namun, untuk menambah pengetahuan dan keahliannya di bidang fotografi, Karina mengikuti kursus secara online yang tidak memakan <m>banyak waktu</m>.
66	77	ind_newscrawl_2016_1M	604251	Nico menambahkan revisi UU MD3 perlu untuk dilakukan, agar tidak	banyak waktu	yang terbuang dikarenakan memasuki masa reses yang terlalu lama, yang selama ini jadi kebiasaan DPR RI.	Nico menambahkan revisi UU MD3 perlu untuk dilakukan, agar tidak <m>banyak waktu</m> yang terbuang dikarenakan memasuki masa reses yang terlalu lama, yang selama ini jadi kebiasaan DPR RI.
126	138	ind_newscrawl_2016_1M	605816	Nuh yakin dengan cara seperti itu kekurangan guru di Papua dan provinsi lain tidak terjadi lagi, sekalipun memang memerlukan	waktu panjang	.	Nuh yakin dengan cara seperti itu kekurangan guru di Papua dan provinsi lain tidak terjadi lagi, sekalipun memang memerlukan <m>waktu panjang</m>.
58	70	ind_newscrawl_2016_1M	608145	Oleh karena itu, jika Rhodamin B dikonsumsi dalam jangka	waktu panjang	, makan zattersebut akan terakumulasi dan menyebabkan kerusakan organ seperti ginjal dan hati.	Oleh karena itu, jika Rhodamin B dikonsumsi dalam jangka <m>waktu panjang</m>, makan zattersebut akan terakumulasi dan menyebabkan kerusakan organ seperti ginjal dan hati.
175	187	ind_newscrawl_2016_1M	608446	“Oleh karena itu langkah instropeksi dan koreksi cara hidup sangat perlu untuk dilakukan agar kita menemukan kehidupan yang benar,”ucapnya sembari menambahkan tanpa menunggu	waktu panjang	lagi.	“Oleh karena itu langkah instropeksi dan koreksi cara hidup sangat perlu untuk dilakukan agar kita menemukan kehidupan yang benar,”ucapnya sembari menambahkan tanpa menunggu <m>waktu panjang</m> lagi.
26	38	ind_newscrawl_2016_1M	609624	Oleh karenanya tim butuh	waktu panjang	untuk menyelesaikan keseluruhan prosesnya dan mencari waktu yang tepat untuk merilis filmnya di Indonesia.	Oleh karenanya tim butuh <m>waktu panjang</m> untuk menyelesaikan keseluruhan prosesnya dan mencari waktu yang tepat untuk merilis filmnya di Indonesia.
46	57	ind_newscrawl_2016_1M	611268	Operasi ini tampaknya akan membutuhkan lebih	banyak waktu	dan menghadapi perlawanan yang lebih besar.	Operasi ini tampaknya akan membutuhkan lebih <m>banyak waktu</m> dan menghadapi perlawanan yang lebih besar.
35	46	ind_newscrawl_2016_1M	612731	Orangtua saya pebisnis, dia tidak	banyak waktu	mengatur saya.	Orangtua saya pebisnis, dia tidak <m>banyak waktu</m> mengatur saya.
20	31	ind_newscrawl_2016_1M	612957	Orang yang terlalu	banyak waktu	belajar tubuhnya lelah/bosan dan hasil belajar kurang baik, waktu santai/rekreasi dibutuhkan orang dalam kegiatan belajar agar ada penyegaran”.	Orang yang terlalu <m>banyak waktu</m> belajar tubuhnya lelah/bosan dan hasil belajar kurang baik, waktu santai/rekreasi dibutuhkan orang dalam kegiatan belajar agar ada penyegaran”.
16	27	ind_newscrawl_2016_1M	621630	Padahal, sudah	banyak waktu	dan cara yang terpakai untuk hal ini.	Padahal, sudah <m>banyak waktu</m> dan cara yang terpakai untuk hal ini.
82	94	ind_newscrawl_2016_1M	622800	Pada kasus kematian Munir, pelaku seorang profesional yang mempersiapkan rentang	waktu panjang	pascakorban menelan arsenik.	Pada kasus kematian Munir, pelaku seorang profesional yang mempersiapkan rentang <m>waktu panjang</m> pascakorban menelan arsenik.
114	126	ind_newscrawl_2016_1M	633333	Para peneliti dari University of Coimbra (CNC) di Portugal mengungkapkan konsumsi kopi secara rutin dalam jangka	waktu panjang	dapat menurangi risiko penyakit alzheimer hingga 27%.	Para peneliti dari University of Coimbra (CNC) di Portugal mengungkapkan konsumsi kopi secara rutin dalam jangka <m>waktu panjang</m> dapat menurangi risiko penyakit alzheimer hingga 27%.
97	108	ind_newscrawl_2016_1M	633403	Para peneliti menemukan bahwa orang yang ingin menurunkan berat badan sering menghabiskan lebih	banyak waktu	dengan orang-orang yang juga gemuk.	Para peneliti menemukan bahwa orang yang ingin menurunkan berat badan sering menghabiskan lebih <m>banyak waktu</m> dengan orang-orang yang juga gemuk.
22	33	ind_newscrawl_2016_1M	633746	"""Para penonton punya"	banyak waktu	untuk mengamati gerak-gerik para capres selama debat.	"""Para penonton punya <m>banyak waktu</m> untuk mengamati gerak-gerik para capres selama debat."
32	44	ind_newscrawl_2016_1M	637130	Pasalnya, hal itu akan memakan	waktu panjang	untuk dapat membayar pinjamannya jika tanpa restrukturisasi besar oleh kreditor resmi Uni Eropa.	Pasalnya, hal itu akan memakan <m>waktu panjang</m> untuk dapat membayar pinjamannya jika tanpa restrukturisasi besar oleh kreditor resmi Uni Eropa.
80	91	ind_newscrawl_2016_1M	648568	"""Peluncuran rudal Korea Utara gagal sesaat setelah lepas landas sehingga cukup"	banyak waktu	"yang dibutuhkan untuk menganalisisnya"" menurut pernyataan pejabat Kepala Staf Gabungan Korea Selatan kepada para reporter Senin."	"""Peluncuran rudal Korea Utara gagal sesaat setelah lepas landas sehingga cukup <m>banyak waktu</m> yang dibutuhkan untuk menganalisisnya"" menurut pernyataan pejabat Kepala Staf Gabungan Korea Selatan kepada para reporter Senin."
65	76	ind_newscrawl_2016_1M	651176	“Pembelaannya saja dibacakan empat hari, jadi kita memang butuh	waktu banyak	untuk susun tanggapan.	“Pembelaannya saja dibacakan empat hari, jadi kita memang butuh <m>waktu banyak</m> untuk susun tanggapan.
147	159	ind_newscrawl_2016_1M	653884	Pemerintah juga memastikan akan memberikan insentif berupa keringanan pajak kepada investor kilang minyak serta hak penggunaan lahan dalam jangka	waktu panjang	, agar proyek tersebut bisa cepat terlaksana.	Pemerintah juga memastikan akan memberikan insentif berupa keringanan pajak kepada investor kilang minyak serta hak penggunaan lahan dalam jangka <m>waktu panjang</m>, agar proyek tersebut bisa cepat terlaksana.
62	73	ind_newscrawl_2016_1M	667462	Pensiunan perwira menengah Polri ini mengaku akan meluangkan	banyak waktu	berkeliling ke seluruh pedesaan di wilayah Bantul.	Pensiunan perwira menengah Polri ini mengaku akan meluangkan <m>banyak waktu</m> berkeliling ke seluruh pedesaan di wilayah Bantul.
37	48	ind_newscrawl_2016_1M	667557	Pentingnya Anak-anak Dapatkan Lebih	Banyak Waktu	Tidur - JPNN.	Pentingnya Anak-anak Dapatkan Lebih <m>Banyak Waktu</m> Tidur - JPNN.
7	19	ind_newscrawl_2016_1M	676285	Perlu	waktu panjang	untuk mencapai posisi puncak itu dan jarang yang berhasil meraihnya.	Perlu <m>waktu panjang</m> untuk mencapai posisi puncak itu dan jarang yang berhasil meraihnya.
32	43	ind_newscrawl_2016_1M	678703	Persiba sendiri tidak memiliki	banyak waktu	beristirahat.	Persiba sendiri tidak memiliki <m>banyak waktu</m> beristirahat.
160	172	ind_newscrawl_2016_1M	687598	Pihaknya juga mengharap-kan gudang perbekalan yang telah dibangun untuk segera dipergunakan demi keterse-diannya stok bahan pokok bagi masyarakat untuk jangka	waktu panjang	.	Pihaknya juga mengharap-kan gudang perbekalan yang telah dibangun untuk segera dipergunakan demi keterse-diannya stok bahan pokok bagi masyarakat untuk jangka <m>waktu panjang</m>.
119	130	ind_newscrawl_2016_1M	693607	Pom itu merupakan bagian dari drive thru Tahu Susu Lembang. 17 July 2016, 11:49 WIB INGIN liburan tapi tidak memiliki	banyak waktu	?	Pom itu merupakan bagian dari drive thru Tahu Susu Lembang. 17 July 2016, 11:49 WIB INGIN liburan tapi tidak memiliki <m>banyak waktu</m>?
74	85	ind_newscrawl_2016_1M	697524	Presiden tidak Ingin SPJ BertumpukSurat pertanggungjawaban (SPJ) menyita	banyak waktu	para penyelenggara negara.	Presiden tidak Ingin SPJ BertumpukSurat pertanggungjawaban (SPJ) menyita <m>banyak waktu</m> para penyelenggara negara.
130	141	ind_newscrawl_2016_1M	704668	Pulau Kelor, yang berjarak tempuh satu jam dari Rinca, menjadi destinasi yang paling direkomendasikan buat mereka yang tak punya	waktu banyak	untuk menjelajah alam bawah laut di sekitar Labuan Bajo.	Pulau Kelor, yang berjarak tempuh satu jam dari Rinca, menjadi destinasi yang paling direkomendasikan buat mereka yang tak punya <m>waktu banyak</m> untuk menjelajah alam bawah laut di sekitar Labuan Bajo.
41	52	ind_newscrawl_2016_1M	715045	Riedl mengakui, para pemain tidak punya	banyak waktu	untuk penyesuaian iklim di Vietnam pada pertandingan leg kedua nanti.	Riedl mengakui, para pemain tidak punya <m>banyak waktu</m> untuk penyesuaian iklim di Vietnam pada pertandingan leg kedua nanti.
111	122	ind_newscrawl_2016_1M	715139	Rihel menganggap, kecenderungan pacaran yang sampai melakukan hubungan terlarang sebelum nikah terjadi karena	banyak waktu	luang di antara mereka.	Rihel menganggap, kecenderungan pacaran yang sampai melakukan hubungan terlarang sebelum nikah terjadi karena <m>banyak waktu</m> luang di antara mereka.
57	69	ind_newscrawl_2016_1M	717901	Rudiantara sendiri mengaku, balon ini masih membutuhkan	waktu panjang	untuk bisa menyesuaikan model bisnis dan penerapannya di Indonesia.	Rudiantara sendiri mengaku, balon ini masih membutuhkan <m>waktu panjang</m> untuk bisa menyesuaikan model bisnis dan penerapannya di Indonesia.
64	75	ind_newscrawl_2016_1M	724571	“Saat ini usia Minut baru me-masuki tiga tahun, sehingga masih	banyak waktu	untuk berbenah diri menuju pada pemekaran.	“Saat ini usia Minut baru me-masuki tiga tahun, sehingga masih <m>banyak waktu</m> untuk berbenah diri menuju pada pemekaran.
135	146	ind_newscrawl_2016_1M	740111	Satria Muda Terus Solidkan Rabu, 19 Oktober 2016 JAKARTA -- Center Satria Muda (SM) Pertamina Christian Ronaldo Sitepu mengakui tidak	banyak waktu	dalam mempersiapkan tim secara utuh menjelang turnamen Piala Perbasi 2016 pada akhir Oktober ini.	Satria Muda Terus Solidkan Rabu, 19 Oktober 2016 JAKARTA -- Center Satria Muda (SM) Pertamina Christian Ronaldo Sitepu mengakui tidak <m>banyak waktu</m> dalam mempersiapkan tim secara utuh menjelang turnamen Piala Perbasi 2016 pada akhir Oktober ini.
76	87	ind_newscrawl_2016_1M	747455	"""Saya kira, hasil survei ini terpengaruh oleh aksi 411. Tapi, ingat, masih"	banyak waktu	untuk mengevaluasi.	"""Saya kira, hasil survei ini terpengaruh oleh aksi 411. Tapi, ingat, masih <m>banyak waktu</m> untuk mengevaluasi."
30	41	ind_newscrawl_2016_1M	749058	"""Saya memiliki sedikit lebih"	banyak waktu	karena kekalahan dini di Wimbledon untuk menghabiskan waktu berkualitas bersama keluarga, sedikit berkumpul, dan mulai berlatih di lapangan keras, yang paling saya nikmati.	"""Saya memiliki sedikit lebih <m>banyak waktu</m> karena kekalahan dini di Wimbledon untuk menghabiskan waktu berkualitas bersama keluarga, sedikit berkumpul, dan mulai berlatih di lapangan keras, yang paling saya nikmati."
52	64	ind_newscrawl_2016_1M	750559	Saya mungkin sudah mati, perjuangan ini memerlukan	waktu panjang	.	Saya mungkin sudah mati, perjuangan ini memerlukan <m>waktu panjang</m>.
13	24	ind_newscrawl_2016_1M	753526	“Saya punya	banyak waktu	untuk mempersiapkannya, mohon doanya,” ungkap Dikna Faradiba, Sabtu (1/10).	“Saya punya <m>banyak waktu</m> untuk mempersiapkannya, mohon doanya,” ungkap Dikna Faradiba, Sabtu (1/10).
16	27	ind_newscrawl_2016_1M	756663	Saya tak punya	banyak waktu	untuk nongkrong di mall, ngerumpi sana sini, maupun melamun tak karuan.	Saya tak punya <m>banyak waktu</m> untuk nongkrong di mall, ngerumpi sana sini, maupun melamun tak karuan.
26	37	ind_newscrawl_2016_1M	756904	Saya telah menginvestasi	banyak waktu	untuk mempersiapkan program ini,” bebernya.	Saya telah menginvestasi <m>banyak waktu</m> untuk mempersiapkan program ini,” bebernya.
37	48	ind_newscrawl_2016_1M	760965	Sebab dengan begitu, ia masih punya	banyak waktu	untuk proses penyembuhan.	Sebab dengan begitu, ia masih punya <m>banyak waktu</m> untuk proses penyembuhan.
36	47	ind_newscrawl_2016_1M	770403	Sebagai karyawan pasti tidak punya	banyak waktu	untuk membenahi riasannya.	Sebagai karyawan pasti tidak punya <m>banyak waktu</m> untuk membenahi riasannya.
152	164	ind_newscrawl_2016_1M	771483	Sebagaimana sejumlah pariwisata berbasis alam yang telah dijalankan di Kulonprogo, ia mengharapkan agar wisata jenis ini bisa berlangsung dalam jangka	waktu panjang	.	Sebagaimana sejumlah pariwisata berbasis alam yang telah dijalankan di Kulonprogo, ia mengharapkan agar wisata jenis ini bisa berlangsung dalam jangka <m>waktu panjang</m>.
54	65	ind_newscrawl_2016_1M	785770	“Secepatnyalah mudah-mudahan, masih ada waktu, masih	banyak waktu	,” tegas Wakil Ketua DPR RI itu.	“Secepatnyalah mudah-mudahan, masih ada waktu, masih <m>banyak waktu</m>,” tegas Wakil Ketua DPR RI itu.
31	43	ind_newscrawl_2016_1M	794943	”Seharusnya tidak membutuhkan	waktu panjang	untuk menyesuaikan diri dengan lingkungan kerja,” tulis Wakil Ketua Fraksi Golkar Agus Subagyo.	”Seharusnya tidak membutuhkan <m>waktu panjang</m> untuk menyesuaikan diri dengan lingkungan kerja,” tulis Wakil Ketua Fraksi Golkar Agus Subagyo.
38	49	ind_newscrawl_2016_1M	796997	Sehingga, Korut pun akan punya lebih	banyak waktu	untuk memperbaiki uji rudal mereka.	Sehingga, Korut pun akan punya lebih <m>banyak waktu</m> untuk memperbaiki uji rudal mereka.
74	86	ind_newscrawl_2016_1M	797141	Sehingga masih ada waktu enam bulan, makanya Wika hanya kejar multi year	waktu panjang	"sehingga bisa persiapkan segala sesuatu dengan baik,"" paparnya."	"Sehingga masih ada waktu enam bulan, makanya Wika hanya kejar multi year <m>waktu panjang</m> sehingga bisa persiapkan segala sesuatu dengan baik,"" paparnya."
56	67	ind_newscrawl_2016_1M	812644	Selain itu, Desi menilai, seorang guru perlu mempunyai	banyak waktu	luang untuk mencari tambahan referensi ilmu pelajaran.	Selain itu, Desi menilai, seorang guru perlu mempunyai <m>banyak waktu</m> luang untuk mencari tambahan referensi ilmu pelajaran.
20	32	ind_newscrawl_2016_1M	820762	Selain membutuhkan	waktu panjang	, juga peralatan canggih seperti kasus Toar dan kasus teror bom.	Selain membutuhkan <m>waktu panjang</m>, juga peralatan canggih seperti kasus Toar dan kasus teror bom.
106	117	ind_newscrawl_2016_1M	840391	Sementara itu pihak CAS menyatakan penundaan putusan tersebut karena Sharapova dan ITF membutuhkan lebih	banyak waktu	untuk melengkapi dan menanggapi pembuktian yang diajukan masing-masing pihak.	Sementara itu pihak CAS menyatakan penundaan putusan tersebut karena Sharapova dan ITF membutuhkan lebih <m>banyak waktu</m> untuk melengkapi dan menanggapi pembuktian yang diajukan masing-masing pihak.
51	62	ind_newscrawl_2016_1M	841775	Sementara itu, teman sekelas Kum yang meghabiskan	banyak waktu	bermain gim mengaku senang Kum masih hidup dan sehat.	Sementara itu, teman sekelas Kum yang meghabiskan <m>banyak waktu</m> bermain gim mengaku senang Kum masih hidup dan sehat.
96	107	ind_newscrawl_2016_1M	845257	Sementara, perawatan di salon membutuhkan waktu yang cukup lama di mana seseorang tak memiliki	waktu banyak	untuk melakukan perawatan.	Sementara, perawatan di salon membutuhkan waktu yang cukup lama di mana seseorang tak memiliki <m>waktu banyak</m> untuk melakukan perawatan.
44	56	ind_newscrawl_2016_1M	847769	Sementara untuk proyek-proyek yang memakan	waktu panjang	, tidak akan diakomodir dalam perubahan anggaran ini.	Sementara untuk proyek-proyek yang memakan <m>waktu panjang</m>, tidak akan diakomodir dalam perubahan anggaran ini.
56	67	ind_newscrawl_2016_1M	855766	Seorang rekan coba membesarkan hati,’Tenang aja, masih	banyak waktu	.’	Seorang rekan coba membesarkan hati,’Tenang aja, masih <m>banyak waktu</m>.’
82	94	ind_newscrawl_2016_1M	862162	Seraya menunggu hasil proses politik yang diperkirakan tidak gampang dan memakan	waktu panjang	, sebagai praktisi bidang informasi, saya mengusulkan program Radio Pasar sebagai salah satu wahana untuk mewujudkan sistem ekonomi pasar berkeadilan.	Seraya menunggu hasil proses politik yang diperkirakan tidak gampang dan memakan <m>waktu panjang</m>, sebagai praktisi bidang informasi, saya mengusulkan program Radio Pasar sebagai salah satu wahana untuk mewujudkan sistem ekonomi pasar berkeadilan.
134	146	ind_newscrawl_2016_1M	865564	Setelah bayi lahir, Yayasan Ruth berupaya agar perempuan dan bayinya dapat diterima keluarganya lagi meski upaya pendekatannya butuh	waktu panjang	.	Setelah bayi lahir, Yayasan Ruth berupaya agar perempuan dan bayinya dapat diterima keluarganya lagi meski upaya pendekatannya butuh <m>waktu panjang</m>.
71	82	ind_newscrawl_2016_1M	867049	Setelah ikan diberikan probiotik, mereka cenderung menghabiskan lebih	banyak waktu	ke arah atas tanki - perubahan perilaku yang menunjukkan mereka kurang stres atau kurang cemas.	Setelah ikan diberikan probiotik, mereka cenderung menghabiskan lebih <m>banyak waktu</m> ke arah atas tanki - perubahan perilaku yang menunjukkan mereka kurang stres atau kurang cemas.
68	79	ind_newscrawl_2016_1M	870153	Setelah pensiun, pemilik akun Twitter @SapardiDD itu mengaku punya	banyak waktu	untuk menulis novel yang membutuhkan konsentrasi lebih besar ketimbang menciptakan puisi.	Setelah pensiun, pemilik akun Twitter @SapardiDD itu mengaku punya <m>banyak waktu</m> untuk menulis novel yang membutuhkan konsentrasi lebih besar ketimbang menciptakan puisi.
101	112	ind_newscrawl_2016_1M	877309	Simak Tips Ini Hal pertama di pagi hari, merencanakan apa yang ingin Anda capai hari itu dan berapa	banyak waktu	yang dibutuhkan untuk menyelesaikan setiap tugas.	Simak Tips Ini Hal pertama di pagi hari, merencanakan apa yang ingin Anda capai hari itu dan berapa <m>banyak waktu</m> yang dibutuhkan untuk menyelesaikan setiap tugas.
39	50	ind_newscrawl_2016_1M	878840	Sistem pertandingan ini tentu menyita	banyak waktu	.	Sistem pertandingan ini tentu menyita <m>banyak waktu</m>.
65	76	ind_newscrawl_2016_1M	886504	"""Studi kami memperlihatkan kalau orang tak perlu mendedikasikan"	banyak waktu	"untuk meningkatkan daya ingat otak mereka,"" kata pemimpin studi dari Georgia Tech, Lisa Weinberg."	"""Studi kami memperlihatkan kalau orang tak perlu mendedikasikan <m>banyak waktu</m> untuk meningkatkan daya ingat otak mereka,"" kata pemimpin studi dari Georgia Tech, Lisa Weinberg."
96	107	ind_newscrawl_2016_1M	886703	Suami Fery Farhati Ganis itu menuturkan, setelah tidak menjadi menteri, dirinya memiliki lebih	banyak waktu	untuk keluarga.	Suami Fery Farhati Ganis itu menuturkan, setelah tidak menjadi menteri, dirinya memiliki lebih <m>banyak waktu</m> untuk keluarga.
11	22	ind_newscrawl_2016_1M	901305	Tak perlu	banyak waktu	, Alti, begitu ia akrab disapa, lolos babak penyelisihan dan beberapa minggu setelahnya langsung menjalani proses tes gambar.	Tak perlu <m>banyak waktu</m>, Alti, begitu ia akrab disapa, lolos babak penyelisihan dan beberapa minggu setelahnya langsung menjalani proses tes gambar.
58	70	ind_newscrawl_2016_1M	909091	Tapi kalau fasilitas kesehatan, man-faatnya untuk jangka	waktu panjang	,” ujarnya.	Tapi kalau fasilitas kesehatan, man-faatnya untuk jangka <m>waktu panjang</m>,” ujarnya.
21	32	ind_newscrawl_2016_1M	909834	Tapi kami tak punya	banyak waktu	.	Tapi kami tak punya <m>banyak waktu</m>.
40	51	ind_newscrawl_2016_1M	910833	Tapi ketika peserta menghabiskan lebih	banyak waktu	dengan orang-orang yang lebih kurus, peneliti melihat sesuatu, yakni mereka yang mengalami kelebihan berat badan lebih berhasil menurunkan bobot tubuhnya.	Tapi ketika peserta menghabiskan lebih <m>banyak waktu</m> dengan orang-orang yang lebih kurus, peneliti melihat sesuatu, yakni mereka yang mengalami kelebihan berat badan lebih berhasil menurunkan bobot tubuhnya.
10	21	ind_newscrawl_2016_1M	927827	"""Terlalu"	banyak waktu	dan uang yang akan dihabiskan, hasilnya sama!	"""Terlalu <m>banyak waktu</m> dan uang yang akan dihabiskan, hasilnya sama!"
40	52	ind_newscrawl_2016_1M	929163	Terlebih, skuat Inggris tidak memiliki	waktu panjang	seperti saat seluruh pemain membela klub masing-masing.	Terlebih, skuat Inggris tidak memiliki <m>waktu panjang</m> seperti saat seluruh pemain membela klub masing-masing.
63	74	ind_newscrawl_2016_1M	936090	“Tetapi di balik ini saya dapat berkah karena saya bisa punya	banyak waktu	,” ucapnya.	“Tetapi di balik ini saya dapat berkah karena saya bisa punya <m>banyak waktu</m>,” ucapnya.
24	35	ind_newscrawl_2016_1M	938270	Tetapi syukurnya cukup	banyak waktu	latihan, sekitar dua bulan.	Tetapi syukurnya cukup <m>banyak waktu</m> latihan, sekitar dua bulan.
66	78	ind_newscrawl_2016_1M	941939	Tidak boleh asal mengambil keputusan karena dampaknya bisa untuk	waktu panjang	.	Tidak boleh asal mengambil keputusan karena dampaknya bisa untuk <m>waktu panjang</m>.
55	66	ind_newscrawl_2016_1M	967494	Untuk melaksanakan prtoyek ini saya membutuhkan lebih	banyak waktu	.	Untuk melaksanakan prtoyek ini saya membutuhkan lebih <m>banyak waktu</m>.
128	139	ind_newscrawl_2016_1M	969699	Untuk meningkatkan kuali-tas kita memang tidak mungkin hanya ditempuh dalam waktu yang singkat, naun perlu proses yang memakan	banyak waktu	, dana yang tidak sedikit dan tentu saja protes dan kritikan terhadap kebijakan yan dilahirkan peme-rintah.	Untuk meningkatkan kuali-tas kita memang tidak mungkin hanya ditempuh dalam waktu yang singkat, naun perlu proses yang memakan <m>banyak waktu</m>, dana yang tidak sedikit dan tentu saja protes dan kritikan terhadap kebijakan yan dilahirkan peme-rintah.
60	71	ind_newscrawl_2016_1M	995071	Yang pasti, kecanduan gim daring membuat pelaku kehilangan	banyak waktu	yang berharga karena tak beranjak dari depan layar komputernya.	Yang pasti, kecanduan gim daring membuat pelaku kehilangan <m>banyak waktu</m> yang berharga karena tak beranjak dari depan layar komputernya.
