start	end	corpus	sent_id	left	node	right	node_sentences
54	65	ind_newscrawl_2016_1M	166246	“Dia adalah bintang sepak bola dunia dan masih punya	banyak waktu	bersama kami.	“Dia adalah bintang sepak bola dunia dan masih punya <m>banyak waktu</m> bersama kami.
35	46	ind_newscrawl_2016_1M	190695	Dikatakan Syarief, masih terdapat	banyak waktu	untuk merampungkan kepengurusan.	Dikatakan Syarief, masih terdapat <m>banyak waktu</m> untuk merampungkan kepengurusan.
14	25	ind_newscrawl_2016_1M	194404	Di mana akan	banyak waktu	dan uang yang dihabiskan.	Di mana akan <m>banyak waktu</m> dan uang yang dihabiskan.
14	25	ind_newscrawl_2016_1M	206981	Di sisi lain	banyak waktu	dan tenaganya diberikan untuk kemajuan pertanian di Minahasa.	Di sisi lain <m>banyak waktu</m> dan tenaganya diberikan untuk kemajuan pertanian di Minahasa.
187	199	ind_newscrawl_2016_1M	214988	Djamil memberi contoh, ketika anggota jamaah sakit-meski yang bersangkutan dirawat di rumah sakit Arab Saudi-ada di antaranya menderita sakit berat dan memerlukan perawatan dalam jangka	waktu panjang	.	Djamil memberi contoh, ketika anggota jamaah sakit-meski yang bersangkutan dirawat di rumah sakit Arab Saudi-ada di antaranya menderita sakit berat dan memerlukan perawatan dalam jangka <m>waktu panjang</m>.
25	36	ind_newscrawl_2016_1M	223149	Emang sih akan menguras	banyak waktu	dan tenaga karena harus pinter ngebagi tenaga antara sekolah dan fokus ke pensi,” ungkap cowok yang pernah duduk di divisi humas (hubungan masyarakat) pensi sekolah.	Emang sih akan menguras <m>banyak waktu</m> dan tenaga karena harus pinter ngebagi tenaga antara sekolah dan fokus ke pensi,” ungkap cowok yang pernah duduk di divisi humas (hubungan masyarakat) pensi sekolah.
30	41	ind_newscrawl_2016_1M	224661	Enrique mengaku tak memiliki	banyak waktu	untuk membuat keputusan tpada laga itu, terutama di babak pertama.	Enrique mengaku tak memiliki <m>banyak waktu</m> untuk membuat keputusan tpada laga itu, terutama di babak pertama.
126	137	ind_newscrawl_2016_1M	225213	Erick Thohir Saksikan Latihan Pemain Inter MilanJumat, 30 Januari 2015 MILAN -- Presiden Inter Milan Erick Thohir meluangkan	banyak waktu	dengan skuat Nerazzurri pada pertengahan pekan ini, sebelum dirinya meninggalkan Italia.	Erick Thohir Saksikan Latihan Pemain Inter MilanJumat, 30 Januari 2015 MILAN -- Presiden Inter Milan Erick Thohir meluangkan <m>banyak waktu</m> dengan skuat Nerazzurri pada pertengahan pekan ini, sebelum dirinya meninggalkan Italia.
92	103	ind_newscrawl_2016_1M	256953	Hanya memiliki waktu tiga pekan sebelum musim kompetitif dimulai, De Boer pun tak memiliki	banyak waktu	untuk mempersiapkan tim.	Hanya memiliki waktu tiga pekan sebelum musim kompetitif dimulai, De Boer pun tak memiliki <m>banyak waktu</m> untuk mempersiapkan tim.
85	96	ind_newscrawl_2016_1M	283158	Ia menyadari usia pelatih berusia 64 tahun itu yang dinilai masih muda dan memiliki	banyak waktu	.	Ia menyadari usia pelatih berusia 64 tahun itu yang dinilai masih muda dan memiliki <m>banyak waktu</m>.
90	101	ind_newscrawl_2016_1M	283853	Ia merasa sudah tidak sanggup lagi menjalani syuting sinetron yang umumnya akan menguras	banyak waktu	dan tenaga.	Ia merasa sudah tidak sanggup lagi menjalani syuting sinetron yang umumnya akan menguras <m>banyak waktu</m> dan tenaga.
57	68	ind_newscrawl_2016_1M	291408	ID, MELBOURNE -- Pemerintah Federal Australia tak punya	banyak waktu	untuk menemukan tempat pembuangan limbah nuklir yang aman.	ID, MELBOURNE -- Pemerintah Federal Australia tak punya <m>banyak waktu</m> untuk menemukan tempat pembuangan limbah nuklir yang aman.
31	43	ind_newscrawl_2016_1M	307242	Ini menurut Bima, membutuhkan	waktu panjang	.	Ini menurut Bima, membutuhkan <m>waktu panjang</m>.
18	29	ind_newscrawl_2016_1M	317775	Itu akan memakan	banyak waktu	.	Itu akan memakan <m>banyak waktu</m>.
28	39	ind_newscrawl_2016_1M	326731	Jadi daripada menghabiskan	banyak waktu	bersenang-senang, Rossi lebih memilih berlama-lama berlatih dirt bike di ranch pribadinya di Tavullia.	Jadi daripada menghabiskan <m>banyak waktu</m> bersenang-senang, Rossi lebih memilih berlama-lama berlatih dirt bike di ranch pribadinya di Tavullia.
99	110	ind_newscrawl_2016_1M	327708	Jadi itu tergantung pada orang-orang yang mengambil keputusan apakah mereka akan memberinya lebih	banyak waktu	"atau tidak,"" kata Figo mengomentari posisi Benitez."	"Jadi itu tergantung pada orang-orang yang mengambil keputusan apakah mereka akan memberinya lebih <m>banyak waktu</m> atau tidak,"" kata Figo mengomentari posisi Benitez."
14	25	ind_newscrawl_2016_1M	329986	''Jadi masih	banyak waktu	"untuk mempersiapkan program Bela Negara,"" ujarnya."	"''Jadi masih <m>banyak waktu</m> untuk mempersiapkan program Bela Negara,"" ujarnya."
7	18	ind_newscrawl_2016_1M	334188	Jadi,	waktu banyak	tersita terkait pemeriksaan bagasi jamaah sehingga keberangkatan kepulangan akhirnya mengalami penundaan,’’ jelas menag.	Jadi, <m>waktu banyak</m> tersita terkait pemeriksaan bagasi jamaah sehingga keberangkatan kepulangan akhirnya mengalami penundaan,’’ jelas menag.
27	38	ind_newscrawl_2016_1M	341322	Jelas kami bisa menghemat	banyak waktu	", tenaga, dan uang dengan sertifikat ini,"" ungkapnya."	"Jelas kami bisa menghemat <m>banyak waktu</m>, tenaga, dan uang dengan sertifikat ini,"" ungkapnya."
17	28	ind_newscrawl_2016_1M	343216	Jika Anda punya	banyak waktu	, setengah hari di Pulau Lengkuas tidak akan terasa.	Jika Anda punya <m>banyak waktu</m>, setengah hari di Pulau Lengkuas tidak akan terasa.
17	28	ind_newscrawl_2016_1M	343217	Jika Anda punya	waktu banyak	, tentu bebas memilih.	Jika Anda punya <m>waktu banyak</m>, tentu bebas memilih.
70	81	ind_newscrawl_2016_1M	345535	Jika kemudian dilanjutkan dengan berbagai tahapan yang menyita cukup	banyak waktu	.	Jika kemudian dilanjutkan dengan berbagai tahapan yang menyita cukup <m>banyak waktu</m>.
64	75	ind_newscrawl_2016_1M	347898	Jika seorang introvert mencintai Anda, mereka akan menempatkan	banyak waktu	dan energi mereka ke dalam hubungan Anda.	Jika seorang introvert mencintai Anda, mereka akan menempatkan <m>banyak waktu</m> dan energi mereka ke dalam hubungan Anda.
19	30	ind_newscrawl_2016_1M	351839	Juga, bakal lebih	banyak waktu	untuk menyinergikan dan mengonsolidasikan pemahaman di antara parpol koalisi.	Juga, bakal lebih <m>banyak waktu</m> untuk menyinergikan dan mengonsolidasikan pemahaman di antara parpol koalisi.
115	126	ind_newscrawl_2016_1M	356026	“Jurnalis di tengah kesibukannya menjalankan tugas kejurnalistikan di lapangan memungkinkan untuk tidak mempunyai	banyak waktu	"memasakan di rumah,"" kata Echa."	"“Jurnalis di tengah kesibukannya menjalankan tugas kejurnalistikan di lapangan memungkinkan untuk tidak mempunyai <m>banyak waktu</m> memasakan di rumah,"" kata Echa."
31	42	ind_newscrawl_2016_1M	359413	Kala itu dia mengaku memiliki	banyak waktu	luang, jadi bisa menyelami berbagai fiturnya.	Kala itu dia mengaku memiliki <m>banyak waktu</m> luang, jadi bisa menyelami berbagai fiturnya.
50	61	ind_newscrawl_2016_1M	368253	“Kalau semuanya dikontrol dari pusat, maka lebih	banyak waktu	yang terbuang.	“Kalau semuanya dikontrol dari pusat, maka lebih <m>banyak waktu</m> yang terbuang.
32	43	ind_newscrawl_2016_1M	376723	“Kami ingin menghabiskan lebih	banyak waktu	dengan keluarga dan belajar hal baru,” katanya.	“Kami ingin menghabiskan lebih <m>banyak waktu</m> dengan keluarga dan belajar hal baru,” katanya.
61	72	ind_newscrawl_2016_1M	376810	Kami ingin pelanggan merasa praktis, cepat, dan tidak perlu	banyak waktu	dalam membeli produk kami.	Kami ingin pelanggan merasa praktis, cepat, dan tidak perlu <m>banyak waktu</m> dalam membeli produk kami.
25	36	ind_newscrawl_2016_1M	379053	"""Kami memang kehilangan"	banyak waktu	jika dibandingkan dengan duo Mercedes.	"""Kami memang kehilangan <m>banyak waktu</m> jika dibandingkan dengan duo Mercedes."
