ngram	w1	w2	w3
saja_yang_datang	saja	yang	datang
yang_datang_membantu	yang	datang	membantu
Kanada_kalau_datang	Kanada	kalau	datang
kalau_datang_ke	kalau	datang	ke
datang_ke_Jogja	datang	ke	Jogja
Kuturan_yang_datang	Kuturan	yang	datang
yang_datang_dari	yang	datang	dari
datang_dari_Jawa	datang	dari	Jawa
hari_akan_datang	hari	akan	datang
akan_datang_sehabis	akan	datang	sehabis
datang_sehabis_shalat	datang	sehabis	shalat
warga_yang_datang	warga	yang	datang
masyarakat_yang_datang	masyarakat	yang	datang
yang_datang_membawa	yang	datang	membawa
datang_membawa_proposal	datang	membawa	proposal
persen_akan_datang	persen	akan	datang
akan_datang_lagi	akan	datang	lagi
datang_lagi_untuk	datang	lagi	untuk
itu_tadi_datang	itu	tadi	datang
tadi_datang_sampakkeun	tadi	datang	sampakkeun
datang_sampakkeun_balik	datang	sampakkeun	balik
pula_yang_datang	pula	yang	datang
yang_datang_sekadar	yang	datang	sekadar
datang_sekadar_menonton	datang	sekadar	menonton
penyakit_setelah_datang	penyakit	setelah	datang
setelah_datang_ke	setelah	datang	ke
datang_ke_sini	datang	ke	sini
Ada_yang_datang	Ada	yang	datang
yang_datang_bergerombol	yang	datang	bergerombol
datang_bergerombol_yakni	datang	bergerombol	yakni
juga_yang_datang	juga	yang	datang
yang_datang_sendiri-sendiri	yang	datang	sendiri-sendiri
Ada_yang_datang	Ada	yang	datang
yang_datang_dan	yang	datang	dan
datang_dan_pergi	datang	dan	pergi
Ada_yang_datang	Ada	yang	datang
yang_datang_dari	yang	datang	dari
datang_dari_Temanggung	datang	dari	Temanggung
Ada_yang_datang	Ada	yang	datang
yang_datang_dengan	yang	datang	dengan
datang_dengan_kendaraan	datang	dengan	kendaraan
Ada_yang_datang	Ada	yang	datang
yang_datang_ke	yang	datang	ke
datang_ke_saya	datang	ke	saya
Ada_yang_datang	Ada	yang	datang
yang_datang_membawa	yang	datang	membawa
datang_membawa_setumpuk	datang	membawa	setumpuk
tadi_untuk_datang	tadi	untuk	datang
untuk_datang_ke	untuk	datang	ke
datang_ke_Minut	datang	ke	Minut
penumpang_sudah_datang	penumpang	sudah	datang
sudah_datang_di	sudah	datang	di
datang_di_Stasiun	datang	di	Stasiun
Kabar_duka_datang	Kabar	duka	datang
duka_datang_dari	duka	datang	dari
datang_dari_musisi	datang	dari	musisi
Kabar_duka_datang	Kabar	duka	datang
duka_datang_dari	duka	datang	dari
datang_dari_musisi	datang	dari	musisi
Adi_Widjaja_datang	Adi	Widjaja	datang
Widjaja_datang_ke	Widjaja	datang	ke
datang_ke_Krangganrejo	datang	ke	Krangganrejo
Adrian_yang_datang	Adrian	yang	datang
yang_datang_bersama	yang	datang	bersama
datang_bersama_guru	datang	bersama	guru
Kadobu_pernah_datang	Kadobu	pernah	datang
pernah_datang_ke	pernah	datang	ke
datang_ke_Sabu	datang	ke	Sabu
dan_ak-an_datang	dan	ak-an	datang
baik_karena_datang	baik	karena	datang
karena_datang_dengan	karena	datang	dengan
datang_dengan_damai	datang	dengan	damai
tanam_akan_datang	tanam	akan	datang
akan_datang_ujar	akan	datang	ujar
datang_ujar_Adi	datang	ujar	Adi
Nangkir_nanti_datang	Nangkir	nanti	datang
nanti_datang_aku	nanti	datang	aku
datang_aku_bisa	datang	aku	bisa
akan_ikut_datang	akan	ikut	datang
orang-orang_yang_datang	orang-orang	yang	datang
yang_datang_ke	yang	datang	ke
datang_ke_acara	datang	ke	acara
orang_yang_datang	orang	yang	datang
yang_datang_ke	yang	datang	ke
datang_ke_Ancol	datang	ke	Ancol
yang_akan_datang	yang	akan	datang
warga_yang_datang	warga	yang	datang
yang_datang_ke	yang	datang	ke
datang_ke_tempat	datang	ke	tempat
Agus_datang_bersama	Agus	datang	bersama
datang_bersama_rombongannya	datang	bersama	rombongannya
yang_bersangkutan_datang	yang	bersangkutan	datang
bersangkutan_datang_untuk	bersangkutan	datang	untuk
datang_untuk_melengkapi	datang	untuk	melengkapi
tidak_sempat_datang	tidak	sempat	datang
sempat_datang_di	sempat	datang	di
datang_di_acara	datang	di	acara
Agus_yang_datang	Agus	yang	datang
yang_datang_merupakan	yang	datang	merupakan
datang_merupakan_hasil	datang	merupakan	hasil
Ahok_datang_dengan	Ahok	datang	dengan
datang_dengan_mengenakan	datang	dengan	mengenakan
Ahok_datang_ke	Ahok	datang	ke
datang_ke_Mabes	datang	ke	Mabes
Ahok_datang_menumpang	Ahok	datang	menumpang
datang_menumpang_Toyota	datang	menumpang	Toyota
Ahok_datang_tanpa	Ahok	datang	tanpa
datang_tanpa_sepatah	datang	tanpa	sepatah
kali_ini_datang	kali	ini	datang
ini_datang_dari	ini	datang	dari
datang_dari_Gubernur	datang	dari	Gubernur
yang_sudah_datang	yang	sudah	datang
sudah_datang_ke	sudah	datang	ke
datang_ke_Rumah	datang	ke	Rumah
menegaskan_akan_datang	menegaskan	akan	datang
akan_datang_meski	akan	datang	meski
datang_meski_hari	datang	meski	hari
Gubernur_Basuki_datang	Gubernur	Basuki	datang
Basuki_datang_sekitar	Basuki	datang	sekitar
datang_sekitar_pukul	datang	sekitar	pukul
yang_akan_datang	yang	akan	datang
lengan_panjang_datang	lengan	panjang	datang
panjang_datang_pada	panjang	datang	pada
datang_pada_pukul	datang	pada	pukul
akan_terus_datang	akan	terus	datang
Air_datang_ke	Air	datang	ke
datang_ke_pemukiman	datang	ke	pemukiman
hiu_paus_datang	hiu	paus	datang
paus_datang_untuk	paus	datang	untuk
datang_untuk_makan	datang	untuk	makan
besar_yang_datang	besar	yang	datang
yang_datang_saat	yang	datang	saat
datang_saat_kita	datang	saat	kita
Ajakan_ini_datang	Ajakan	ini	datang
ini_datang_dari	ini	datang	dari
datang_dari_Tokoh	datang	dari	Tokoh
besar_akan_datang	besar	akan	datang
akan_datang_ke	akan	datang	ke
datang_ke_dewan	datang	ke	dewan
peserta_yang_datang	peserta	yang	datang
yang_datang_dari	yang	datang	dari
datang_dari_luar	datang	dari	luar
Dylan_akan_datang	Dylan	akan	datang
