ngram	w1	w2	w3	n
dengan_jangka_waktu	dengan	jangka	waktu	24
memakan_waktu_lama	memakan	waktu	lama	24
memakan_waktu_sekitar	memakan	waktu	sekitar	24
selesai_dalam_waktu	selesai	dalam	waktu	24
waktu_de-kat_ini	waktu	de-kat	ini	24
waktu_sekitar_menit	waktu	sekitar	menit	24
digelar_dalam_waktu	digelar	dalam	waktu	23
hanya_membutuhkan_waktu	hanya	membutuhkan	waktu	23
kurun_waktu_yang	kurun	waktu	yang	23
waktu_itu_saya	waktu	itu	saya	23
waktu_yang_relatif	waktu	yang	relatif	23
menghabiskan_waktu_dengan	menghabiskan	waktu	dengan	22
waktu_kurang_lebih	waktu	kurang	lebih	22
waktu_menit_untuk	waktu	menit	untuk	22
waktu_yang_tersisa	waktu	yang	tersisa	22
yang_dalam_waktu	yang	dalam	waktu	22
babak_perpanjangan_waktu	babak	perpanjangan	waktu	21
dalam_waktu_beberapa	dalam	waktu	beberapa	21
dalam_waktu_tahun	dalam	waktu	tahun	21
jangka_waktu_tertentu	jangka	waktu	tertentu	21
merupakan_waktu_yang	merupakan	waktu	yang	21
punya_waktu_untuk	punya	waktu	untuk	21
ruang_dan_waktu	ruang	dan	waktu	21
waktu_sekitar_dua	waktu	sekitar	dua	21
waktu_yang_belum	waktu	yang	belum	21
jangka_waktu_tahun	jangka	waktu	tahun	20
masih_membutuhkan_waktu	masih	membutuhkan	waktu	20
perlu_waktu_untuk	perlu	waktu	untuk	20
punya_banyak_waktu	punya	banyak	waktu	20
tidak_ada_waktu	tidak	ada	waktu	20
waktu_dekat_pihaknya	waktu	dekat	pihaknya	20
waktu_yang_lebih	waktu	yang	lebih	20
dengan_waktu_menit	dengan	waktu	menit	19
lebih_banyak_waktu	lebih	banyak	waktu	19
maka_dalam_waktu	maka	dalam	waktu	19
membutuhkan_waktu_untuk	membutuhkan	waktu	untuk	19
menghabiskan_waktu_bersama	menghabiskan	waktu	bersama	19
waktu_belakangan_ini	waktu	belakangan	ini	19
waktu_dan_tempat	waktu	dan	tempat	19
waktu_satu_menit	waktu	satu	menit	19
yang_membutuhkan_waktu	yang	membutuhkan	waktu	19
akan_membutuhkan_waktu	akan	membutuhkan	waktu	18
bahwa_dalam_waktu	bahwa	dalam	waktu	18
dalam_waktu_bersamaan	dalam	waktu	bersamaan	18
dalam_waktu_lima	dalam	waktu	lima	18
dari_waktu_yang	dari	waktu	yang	18
dengan_berjalannya_waktu	dengan	berjalannya	waktu	18
dilaksanakan_dalam_waktu	dilaksanakan	dalam	waktu	18
masih_punya_waktu	masih	punya	waktu	18
memakan_waktu_hingga	memakan	waktu	hingga	18
memberikan_batas_waktu	memberikan	batas	waktu	18
terjadi_beberapa_waktu	terjadi	beberapa	waktu	18
waktu_beberapa_hari	waktu	beberapa	hari	18
waktu_dan_biaya	waktu	dan	biaya	18
waktu_itu_ada	waktu	itu	ada	18
waktu_itu_tidak	waktu	itu	tidak	18
waktu_lima_menit	waktu	lima	menit	18
waktu_satu_minggu	waktu	satu	minggu	18
waktu_sekitar_satu	waktu	sekitar	satu	18
waktu_setempat_dan	waktu	setempat	dan	18
cukup_waktu_untuk	cukup	waktu	untuk	17
ini_beberapa_waktu	ini	beberapa	waktu	17
masih_memiliki_waktu	masih	memiliki	waktu	17
memiliki_waktu_untuk	memiliki	waktu	untuk	17
pada_kurun_waktu	pada	kurun	waktu	17
pihaknya_dalam_waktu	pihaknya	dalam	waktu	17
selama_beberapa_waktu	selama	beberapa	waktu	17
waktu_dekat_segera	waktu	dekat	segera	17
waktu_hari_untuk	waktu	hari	untuk	17
waktu_jam_menit	waktu	jam	menit	17
waktu_setempat_di	waktu	setempat	di	17
waktu_tujuh_hari	waktu	tujuh	hari	17
beberapa_waktu_silam	beberapa	waktu	silam	16
bisa_memakan_waktu	bisa	memakan	waktu	16
butuh_waktu_sekitar	butuh	waktu	sekitar	16
catatan_waktu_terbaik	catatan	waktu	terbaik	16
dalam_waktu_bulan	dalam	waktu	bulan	16
dalam_waktu_cepat	dalam	waktu	cepat	16
dengan_batas_waktu	dengan	batas	waktu	16
memberikan_waktu_kepada	memberikan	waktu	kepada	16
sore_waktu_setempat	sore	waktu	setempat	16
waktu_lalu_kami	waktu	lalu	kami	16
waktu_relatif_singkat	waktu	relatif	singkat	16
waktu_yang_sudah	waktu	yang	sudah	16
bebera-pa_waktu_lalu	bebera-pa	waktu	lalu	15
dan_membutuhkan_waktu	dan	membutuhkan	waktu	15
dengan_selisih_waktu	dengan	selisih	waktu	15
jangka_waktu_lama	jangka	waktu	lama	15
karena_waktu_itu	karena	waktu	itu	15
memakan_waktu_cukup	memakan	waktu	cukup	15
memakan_waktu_lebih	memakan	waktu	lebih	15
saya_waktu_itu	saya	waktu	itu	15
sesuai_dengan_waktu	sesuai	dengan	waktu	15
tempat_dan_waktu	tempat	dan	waktu	15
waktu_dan_tenaga	waktu	dan	tenaga	15
waktu_dekat_sudah	waktu	dekat	sudah	15
waktu_lalu_dan	waktu	lalu	dan	15
waktu_sekitar_jam	waktu	sekitar	jam	15
waktu_yang_akan	waktu	yang	akan	15
waktu_yang_dihabiskan	waktu	yang	dihabiskan	15
yang_pada_waktu	yang	pada	waktu	15
butuh_waktu_yang	butuh	waktu	yang	14
dalam_satu_waktu	dalam	satu	waktu	14
dalam_waktu_empat	dalam	waktu	empat	14
dalam_waktu_enam	dalam	waktu	enam	14
hadir_tepat_waktu	hadir	tepat	waktu	14
kurun_waktu_dua	kurun	waktu	dua	14
melewati_batas_waktu	melewati	batas	waktu	14
menjadi_waktu_yang	menjadi	waktu	yang	14
setelah_beberapa_waktu	setelah	beberapa	waktu	14
siang_waktu_setempat	siang	waktu	setempat	14
waktu_itu_masih	waktu	itu	masih	14
waktu_itu_yang	waktu	itu	yang	14
waktu_ke_depan	waktu	ke	depan	14
waktu_lalu_kata	waktu	lalu	kata	14
waktu_lalu_menyatakan	waktu	lalu	menyatakan	14
waktu_normal_berakhir	waktu	normal	berakhir	14
waktu_paling_lama	waktu	paling	lama	14
waktu_satu_hari	waktu	satu	hari	14
wartawan_beberapa_waktu	wartawan	beberapa	waktu	14
bisa_menghabiskan_waktu	bisa	menghabiskan	waktu	13
dalam_waktu_relatif	dalam	waktu	relatif	13
dan_butuh_waktu	dan	butuh	waktu	13
di_lain_waktu	di	lain	waktu	13
hanya_memakan_waktu	hanya	memakan	waktu	13
hingga_waktu_yang	hingga	waktu	yang	13
itu_membutuhkan_waktu	itu	membutuhkan	waktu	13
jika_dalam_waktu	jika	dalam	waktu	13
karena_dalam_waktu	karena	dalam	waktu	13
kurun_waktu_satu	kurun	waktu	satu	13
masih_butuh_waktu	masih	butuh	waktu	13
memakan_waktu_satu	memakan	waktu	satu	13
perlu_waktu_lama	perlu	waktu	lama	13
pukul_pagi_waktu	pukul	pagi	waktu	13
waktu_dua_jam	waktu	dua	jam	13
waktu_dua_menit	waktu	dua	menit	13
waktu_itu_belum	waktu	itu	belum	13
waktu_itu_sudah	waktu	itu	sudah	13
waktu_tiga_menit	waktu	tiga	menit	13
waktu_untuk_melakukan	waktu	untuk	melakukan	13
waktu_yang_berbeda	waktu	yang	berbeda	13
waktu_yang_pas	waktu	yang	pas	13
waktu_yang_tak	waktu	yang	tak	13
berapa_lama_waktu	berapa	lama	waktu	12
berpacu_dengan_waktu	berpacu	dengan	waktu	12
catatan_waktu_tercepat	catatan	waktu	tercepat	12
catatan_waktu_yang	catatan	waktu	yang	12
dalam_waktu_sekitar	dalam	waktu	sekitar	12
dan_tepat_waktu	dan	tepat	waktu	12
ini_membutuhkan_waktu	ini	membutuhkan	waktu	12
jangka_waktu_dua	jangka	waktu	dua	12
lagi_dalam_waktu	lagi	dalam	waktu	12
lama_waktu_yang	lama	waktu	yang	12
membutuhkan_waktu_hingga	membutuhkan	waktu	hingga	12
membutuhkan_waktu_menit	membutuhkan	waktu	menit	12
mengisi_waktu_luang	mengisi	waktu	luang	12
sesuai_waktu_yang	sesuai	waktu	yang	12
tersebut_membutuhkan_waktu	tersebut	membutuhkan	waktu	12
tidak_memakan_waktu	tidak	memakan	waktu	12
waktu_berbuka_puasa	waktu	berbuka	puasa	12
waktu_dekat_kita	waktu	dekat	kita	12
waktu_dua_pekan	waktu	dua	pekan	12
waktu_itu_adalah	waktu	itu	adalah	12
waktu_lalu_sempat	waktu	lalu	sempat	12
waktu_lebih_dari	waktu	lebih	dari	12
waktu_setempat_itu	waktu	setempat	itu	12
waktu_terbaik_menit	waktu	terbaik	menit	12
waktu_untuk_keluarga	waktu	untuk	keluarga	12
butuh_waktu_dua	butuh	waktu	dua	11
dan_menghabiskan_waktu	dan	menghabiskan	waktu	11
di_waktu_mendatang	di	waktu	mendatang	11
hari_waktu_setempat	hari	waktu	setempat	11
itu_butuh_waktu	itu	butuh	waktu	11
katanya_beberapa_waktu	katanya	beberapa	waktu	11
kurun_waktu_lima	kurun	waktu	lima	11
kurun_waktu_tersebut	kurun	waktu	tersebut	11
kurun_waktu_tertentu	kurun	waktu	tertentu	11
memakan_waktu_dua	memakan	waktu	dua	11
memerlukan_waktu_untuk	memerlukan	waktu	untuk	11
menambahkan_dalam_waktu	menambahkan	dalam	waktu	11
