ngram	w1	w2	n
baris_depan	baris	depan	6
dan_kedepan	dan	kedepan	6
depan_atlet	depan	atlet	6
depan_dermaga	depan	dermaga	6
depan_dua	depan	dua	6
depan_hakim	depan	hakim	6
depan_jalan	depan	jalan	6
depan_jangan	depan	jangan	6
depan_kompleks	depan	kompleks	6
depan_lokasi	depan	lokasi	6
depan_masalah	depan	masalah	6
depan_memiliki	depan	memiliki	6
depan_menurut	depan	menurut	6
depan_nan-ti	depan	nan-ti	6
depan_pendidikan	depan	pendidikan	6
depan_penonton	depan	penonton	6
depan_penyidik	depan	penyidik	6
depan_pertokoan	depan	pertokoan	6
depan_pihak	depan	pihak	6
depan_seiring	depan	seiring	6
depan_selesai	depan	selesai	6
depan_sementara	depan	sementara	6
depan_sistem	depan	sistem	6
depan_tantangan	depan	tantangan	6
depan_target	depan	target	6
depan_tegasnya	depan	tegasnya	6
depan_terang	depan	terang	6
depan_terdapat	depan	terdapat	6
depan_tersebut	depan	tersebut	6
depan_tetap	depan	tetap	6
depan_tetapi	depan	tetapi	6
depan_truk	depan	truk	6
depan_ucap	depan	ucap	6
depannya_bersama	depannya	bersama	6
depannya_dan	depannya	dan	6
depannya_seperti	depannya	seperti	6
depannya_tak	depannya	tak	6
kedepan_dapat	kedepan	dapat	6
kedepan_yang	kedepan	yang	6
kedepannya_bisa	kedepannya	bisa	6
kursi_depan	kursi	depan	6
masih_mengedepankan	masih	mengedepankan	6
mengedepankan_nilai-nilai	mengedepankan	nilai-nilai	6
mengedepankan_sikap	mengedepankan	sikap	6
mengedepankan_unsur	mengedepankan	unsur	6
minggu_kedepan	minggu	kedepan	6
rem_depan	rem	depan	6
teknologi_terdepan	teknologi	terdepan	6
yang_mengedepan	yang	mengedepan	6
baik_kedepannya	baik	kedepannya	5
berharap_kedepannya	berharap	kedepannya	5
bumper_depan	bumper	depan	5
dan_kedepannya	dan	kedepannya	5
depan_altar	depan	altar	5
depan_bagian	depan	bagian	5
depan_balai	depan	balai	5
depan_berada	depan	berada	5
depan_dipastikan	depan	dipastikan	5
depan_direncanakan	depan	direncanakan	5
depan_guna	depan	guna	5
depan_hidung	depan	hidung	5
depan_istana	depan	istana	5
depan_kendaraan	depan	kendaraan	5
depan_kiri	depan	kiri	5
depan_kota	depan	kota	5
depan_lawan	depan	lawan	5
depan_loket	depan	loket	5
depan_motor	depan	motor	5
depan_nama	depan	nama	5
depan_partai	depan	partai	5
depan_pasti	depan	pasti	5
depan_patung	depan	patung	5
depan_pelatih	depan	pelatih	5
depan_pemain	depan	pemain	5
depan_persidangan	depan	persidangan	5
depan_pria	depan	pria	5
depan_sambil	depan	sambil	5
depan_satu	depan	satu	5
depan_sebaiknya	depan	sebaiknya	5
depan_sebesar	depan	sebesar	5
depan_sepeda	depan	sepeda	5
depan_seseorang	depan	seseorang	5
depan_sesuai	depan	sesuai	5
depan_setiap	depan	setiap	5
depan_stasiun	depan	stasiun	5
depan_tanpa	depan	tanpa	5
depan_terangnya	depan	terangnya	5
depan_terkait	depan	terkait	5
depan_wajah	depan	wajah	5
depannya_dengan	depannya	dengan	5
depannya_dia	depannya	dia	5
depannya_diharapkan	depannya	diharapkan	5
depannya_jelas	depannya	jelas	5
depannya_masih	depannya	masih	5
depannya_mereka	depannya	mereka	5
depannya_sehingga	depannya	sehingga	5
depannya_sudah	depannya	sudah	5
depannya_ujarnya	depannya	ujarnya	5
depannya_untuk	depannya	untuk	5
digital_terdepan	digital	terdepan	5
hanya_mengedepankan	hanya	mengedepankan	5
itu_kedepannya	itu	kedepannya	5
kamera_depannya	kamera	depannya	5
ke_depan-nya	ke	depan-nya	5
kedepan_dalam	kedepan	dalam	5
kedepan_jelas	kedepan	jelas	5
kedepan_sudah	kedepan	sudah	5
kedepan_tidak	kedepan	tidak	5
kedepannya_kata	kedepannya	kata	5
kompetisi_depan	kompetisi	depan	5
lagi_kedepannya	lagi	kedepannya	5
melewati_depan	melewati	depan	5
mengedepankan_transparansi	mengedepankan	transparansi	5
pebalap_terdepan	pebalap	terdepan	5
pembalap_terdepan	pembalap	terdepan	5
pilar_terdepan	pilar	terdepan	5
sampul_depan	sampul	depan	5
terdepan_terluar	terdepan	terluar	5
terus_mengedepankan	terus	mengedepankan	5
tetap_menge-depankan	tetap	menge-depankan	5
agar_mengedepankan	agar	mengedepankan	4
area_depan	area	depan	4
atau_depan	atau	depan	4
bemper_depan	bemper	depan	4
contoh_terdepan	contoh	terdepan	4
dalam_mengedepankan	dalam	mengedepankan	4
dan_terdepan	dan	terdepan	4
depan_antara	depan	antara	4
depan_apa	depan	apa	4
depan_aparat	depan	aparat	4
depan_area	depan	area	4
depan_baik	depan	baik	4
depan_barisan	depan	barisan	4
depan_begitu	depan	begitu	4
depan_bengkel	depan	bengkel	4
depan_berjalan	depan	berjalan	4
depan_bus	depan	bus	4
depan_dekat	depan	dekat	4
depan_gemilang	depan	gemilang	4
depan_gerakan	depan	gerakan	4
depan_gubernur	depan	gubernur	4
depan_ingin	depan	ingin	4
depan_investasi	depan	investasi	4
depan_jajaran	depan	jajaran	4
depan_jalur	depan	jalur	4
depan_jauh	depan	jauh	4
depan_jenazah	depan	jenazah	4
depan_kaca	depan	kaca	4
depan_kasus	depan	kasus	4
depan_kemungkinan	depan	kemungkinan	4
depan_khususnya	depan	khususnya	4
depan_kios	depan	kios	4
depan_kompetisi	depan	kompetisi	4
depan_lahan	depan	lahan	4
depan_lalu	depan	lalu	4
depan_langkah	depan	langkah	4
depan_lantaran	depan	lantaran	4
depan_lewat	depan	lewat	4
depan_lobi	depan	lobi	4
depan_makam	depan	makam	4
depan_mampu	depan	mampu	4
depan_massa	depan	massa	4
depan_matanya	depan	matanya	4
depan_maupun	depan	maupun	4
depan_megapiksel	depan	megapiksel	4
depan_membutuhkan	depan	membutuhkan	4
depan_mencapai	depan	mencapai	4
depan_merupakan	depan	merupakan	4
depan_mudah-mudahan	depan	mudah-mudahan	4
depan_negeri	depan	negeri	4
depan_pangkalan	depan	pangkalan	4
depan_pantai	depan	pantai	4
depan_pe-kan	depan	pe-kan	4
depan_pembangunan	depan	pembangunan	4
depan_pengurus	depan	pengurus	4
depan_pertumbuhan	depan	pertumbuhan	4
depan_pesawat	depan	pesawat	4
depan_petugas	depan	petugas	4
depan_pi-haknya	depan	pi-haknya	4
depan_polisi	depan	polisi	4
depan_produksi	depan	produksi	4
depan_rapat	depan	rapat	4
depan_rumah-rumah	depan	rumah-rumah	4
depan_salah	depan	salah	4
depan_sampai	depan	sampai	4
depan_samping	depan	samping	4
depan_seharusnya	depan	seharusnya	4
depan_siswa	depan	siswa	4
depan_stadion	depan	stadion	4
depan_televisi	depan	televisi	4
depan_terhitung	depan	terhitung	4
depan_termasuk	depan	termasuk	4
depan_terminal	depan	terminal	4
depan_terus	depan	terus	4
depan_tiga	depan	tiga	4
depan_torang	depan	torang	4
depan_walau	depan	walau	4
depannya_jika	depannya	jika	4
depannya_saya	depannya	saya	4
depannya_semakin	depannya	semakin	4
diharapkan_kedepan	diharapkan	kedepan	4
dikedepankan_dan	dikedepankan	dan	4
hukum_mengedepankan	hukum	mengedepankan	4
ingin_mengedepankan	ingin	mengedepankan	4
itu_kedepan	itu	kedepan	4
jendela_depan	jendela	depan	4
kaca_depannya	kaca	depannya	4
kedepan_agar	kedepan	agar	4
kedepan_dengan	kedepan	dengan	4
kedepan_katanya	kedepan	katanya	4
kedepan_ujar	kedepan	ujar	4
kedepan_ujarnya	kedepan	ujarnya	4
kedepannya_dapat	kedepannya	dapat	4
kita_mengedepankan	kita	mengedepankan	4
lapangan_depan	lapangan	depan	4
lebih_dikedepankan	lebih	dikedepankan	4
mampu_mengedepankan	mampu	mengedepankan	4
mengedepankan_aturan	mengedepankan	aturan	4
mengedepankan_kampanye	mengedepankan	kampanye	4
mengedepankan_kewajiban	mengedepankan	kewajiban	4
mengedepankan_proses	mengedepankan	proses	4
mengedepankan_sportivitas	mengedepankan	sportivitas	4
menjadi_terdepan	menjadi	terdepan	4
mereka_mengedepankan	mereka	mengedepankan	4
minggu_depannya	minggu	depannya	4
nama_depannya	nama	depannya	4
patut_dikedepankan	patut	dikedepankan	4
pekan_kedepan	pekan	kedepan	4
perempatan_depan	perempatan	depan	4
pulau-pulau_terdepan	pulau-pulau	terdepan	4
ruang_depan	ruang	depan	4
ruangan_depan	ruangan	depan	4
selalu_terdepan	selalu	terdepan	4
senantiasa_mengedepankan	senantiasa	mengedepankan	4
suspensi_depan	suspensi	depan	4
terdepan_da-lam	terdepan	da-lam	4
terdepan_dengan	terdepan	dengan	4
terdepan_pada	terdepan	pada	4
terluar_terdepan	terluar	terdepan	4
untuk_dikedepankan	untuk	dikedepankan	4
urutan_terdepan	urutan	terdepan	4
yang_kedepannya	yang	kedepannya	4
3T_terdepan	3T	terdepan	3
akan_dikedepankan	akan	dikedepankan	3
bagian_terdepan	bagian	terdepan	3
bangsa_kedepannya	bangsa	kedepannya	3
bank_terdepan	bank	terdepan	3
bola-bola_depan	bola-bola	depan	3
daerah_kedepan	daerah	kedepan	3
daerah_terdepan	daerah	terdepan	3
dengan_me-ngedepankan	dengan	me-ngedepankan	3
dengan_mengedepan-kan	dengan	mengedepan-kan	3
depan_aktivitas	depan	aktivitas	3
depan_aku	depan	aku	3
depan_anak-anaknya	depan	anak-anaknya	3
depan_anaknya	depan	anaknya	3
depan_asal	depan	asal	3
depan_badan	depan	badan	3
depan_bagaimana	depan	bagaimana	3
depan_bangunan	depan	bangunan	3
depan_belum	depan	belum	3
depan_benar-benar	depan	benar-benar	3
depan_berencana	depan	berencana	3
depan_berkas	depan	berkas	3
depan_berlaku	depan	berlaku	3
depan_besok	depan	besok	3
depan_betul-betul	depan	betul-betul	3
depan_bila	depan	bila	3
depan_buat	depan	buat	3
depan_dana	depan	dana	3
depan_daya	depan	daya	3
depan_de-ngan	depan	de-ngan	3
depan_demi	depan	demi	3
depan_deretan	depan	deretan	3
depan_desa	depan	desa	3
depan_destinasi	depan	destinasi	3
depan_dimulai	depan	dimulai	3
depan_disusul	depan	disusul	3
depan_ditargetkan	depan	ditargetkan	3
depan_film	depan	film	3
depan_gaji	depan	gaji	3
depan_garis	depan	garis	3
depan_hancur	depan	hancur	3
depan_harapan	depan	harapan	3
depan_hujan	depan	hujan	3
depan_instansi	depan	instansi	3
depan_insya	depan	insya	3
depan_investor	depan	investor	3
depan_ka-tanya	depan	ka-tanya	3
depan_kan-tor	depan	kan-tor	3
depan_kanan	depan	kanan	3
depan_kedai	depan	kedai	3
depan_keluarganya	depan	keluarganya	3
depan_kemudian	depan	kemudian	3
depan_kepada	depan	kepada	3
depan_kinerja	depan	kinerja	3
depan_kiranya	depan	kiranya	3
depan_klub	depan	klub	3
depan_kondisinya	depan	kondisinya	3
depan_konsep	depan	konsep	3
depan_korban	depan	korban	3
depan_laporan	depan	laporan	3
depan_ma-syarakat	depan	ma-syarakat	3
depan_markas	depan	markas	3
depan_me-reka	depan	me-reka	3
depan_melakukan	depan	melakukan	3
depan_melalui	depan	melalui	3
depan_mempunyai	depan	mempunyai	3
depan_menghapus	depan	menghapus	3
depan_mengingat	depan	mengingat	3
depan_mobilnya	depan	mobilnya	3
depan_muncul	depan	muncul	3
depan_museum	depan	museum	3
depan_naik	depan	naik	3
depan_oleh	depan	oleh	3
depan_pagar	depan	pagar	3
depan_paling	depan	paling	3
depan_parlemen	depan	parlemen	3
depan_pasukan	depan	pasukan	3
depan_pebalap	depan	pebalap	3
depan_pejabat	depan	pejabat	3
depan_pelanggan	depan	pelanggan	3
depan_pemberantasan	depan	pemberantasan	3
depan_pendopo	depan	pendopo	3
depan_pendukungnya	depan	pendukungnya	3
depan_penjaga	depan	penjaga	3
depan_perusahaan	depan	perusahaan	3
depan_petani	depan	petani	3
depan_politik	depan	politik	3
depan_pos	depan	pos	3
depan_prestasi	depan	prestasi	3
depan_produk	depan	produk	3
depan_proses	depan	proses	3
depan_proyek	depan	proyek	3
depan_public	depan	public	3
depan_rektorat	depan	rektorat	3
depan_ru-mahnya	depan	ru-mahnya	3
depan_sana	depan	sana	3
depan_saran	depan	saran	3
depan_sebenarnya	depan	sebenarnya	3
depan_sebut	depan	sebut	3
depan_secara	depan	secara	3
depan_sedang	depan	sedang	3
depan_sekaligus	depan	sekaligus	3
depan_sekarang	depan	sekarang	3
depan_sekolahnya	depan	sekolahnya	3
depan_semuanya	depan	semuanya	3
depan_seorang	depan	seorang	3
depan_sepak	depan	sepak	3
depan_sepertinya	depan	sepertinya	3
depan_setidaknya	depan	setidaknya	3
depan_suatu	depan	suatu	3
depan_surat	depan	surat	3
depan_tampak	depan	tampak	3
depan_tanah	depan	tanah	3
depan_tanggal	depan	tanggal	3
depan_teknologi	depan	teknologi	3
depan_teman-temannya	depan	teman-temannya	3
depan_teras	depan	teras	3
depan_terbuka	depan	terbuka	3
depan_terlihat	depan	terlihat	3
depan_terutama	depan	terutama	3
depan_timnya	depan	timnya	3
depan_tinggal	depan	tinggal	3
depan_toilet	depan	toilet	3
depan_triliun	depan	triliun	3
depan_wartawan	depan	wartawan	3
depan_wilayah	depan	wilayah	3
depan_ya	depan	ya	3
depannya_apakah	depannya	apakah	3
depannya_dari	depannya	dari	3
depannya_katanya	depannya	katanya	3
depannya_lanjut	depannya	lanjut	3
depannya_nanti	depannya	nanti	3
depannya_pemerintah	depannya	pemerintah	3
depannya_seluruh	depannya	seluruh	3
depannya_setelah	depannya	setelah	3
depannya_terus	depannya	terus	3
depannya_tetap	depannya	tetap	3
depannya_ucapnya	depannya	ucapnya	3
depannya_ungkap	depannya	ungkap	3
dibagian_depan	dibagian	depan	3
dikedepankan_adalah	dikedepankan	adalah	3
dikedepankan_dari	dikedepankan	dari	3
dimasa_depan	dimasa	depan	3
grill_depan	grill	depan	3
harapan_kedepan	harapan	kedepan	3
harus_me-ngedepankan	harus	me-ngedepankan	3
ini_kedepannya	ini	kedepannya	3
itu_dikedepankan	itu	dikedepankan	3
kami_kedepan	kami	kedepan	3
kami_kedepankan	kami	kedepankan	3
kedepan_adalah	kedepan	adalah	3
kedepan_dan	kedepan	dan	3
kedepan_masih	kedepan	masih	3
kedepan_tutur	kedepan	tutur	3
kedepankan_adalah	kedepankan	adalah	3
kedepankan_sikap	kedepankan	sikap	3
kedepannya_jelasnya	kedepannya	jelasnya	3
kedepannya_kami	kedepannya	kami	3
kedepannya_lebih	kedepannya	lebih	3
kedepannya_tidak	kedepannya	tidak	3
kita_kedepankan	kita	kedepankan	3
lebih_depan	lebih	depan	3
lini_depannya	lini	depannya	3
lini_terdepan	lini	terdepan	3
lurus_kedepan	lurus	kedepan	3
maupun_depan	maupun	depan	3
me-ngedepankan_asas	me-ngedepankan	asas	3
menge-depankan_asas	menge-depankan	asas	3
menge-depankan_kepentingan	menge-depankan	kepentingan	3
mengedepankan_berbagai	mengedepankan	berbagai	3
mengedepankan_cara-cara	mengedepankan	cara-cara	3
mengedepankan_dan	mengedepankan	dan	3
mengedepankan_faktor	mengedepankan	faktor	3
mengedepankan_fungsi	mengedepankan	fungsi	3
mengedepankan_hal-hal	mengedepankan	hal-hal	3
mengedepankan_inovasi	mengedepankan	inovasi	3
mengedepankan_isu-isu	mengedepankan	isu-isu	3
mengedepankan_kasih	mengedepankan	kasih	3
mengedepankan_keamanan	mengedepankan	keamanan	3
mengedepankan_kejujuran	mengedepankan	kejujuran	3
mengedepankan_kemandirian	mengedepankan	kemandirian	3
mengedepankan_komunikasi	mengedepankan	komunikasi	3
mengedepankan_langkah	mengedepankan	langkah	3
mengedepankan_moral	mengedepankan	moral	3
mengedepankan_pelayanan	mengedepankan	pelayanan	3
mengedepankan_pembangunan	mengedepankan	pembangunan	3
mengedepankan_perbedaan	mengedepankan	perbedaan	3
mengedepankan_persamaan	mengedepankan	persamaan	3
mengedepankan_persatuan	mengedepankan	persatuan	3
mengedepankan_program	mengedepankan	program	3
mengedepankan_rasa	mengedepankan	rasa	3
mengedepankan_sisi	mengedepankan	sisi	3
mengedepankan_sistem	mengedepankan	sistem	3
moncong_depan	moncong	depan	3
pentingnya_mengedepankan	pentingnya	mengedepankan	3
raya_depan	raya	depan	3
rencana_kedepan	rencana	kedepan	3
sehingga_kedepan	sehingga	kedepan	3
sektor_depan	sektor	depan	3
selalu_dikedepankan	selalu	dikedepankan	3
serambi_depan	serambi	depan	3
tahun-tahun_depan	tahun-tahun	depan	3
tampak_depan	tampak	depan	3
tampil_terdepan	tampil	terdepan	3
taon_depan	taon	depan	3
tepatnya_depan	tepatnya	depan	3
terdepan_harus	terdepan	harus	3
terdepan_kata	terdepan	kata	3
terdepan_katanya	terdepan	katanya	3
terdepan_membela	terdepan	membela	3
terdepan_saat	terdepan	saat	3
terdepan_sebagai	terdepan	sebagai	3
terdepan_seperti	terdepan	seperti	3
tetap_dikedepankan	tetap	dikedepankan	3
