ngram	w1	w2	n
foto-foto_zaman	foto-foto	zaman	1
geliat_zaman	geliat	zaman	1
gerekan_zaman	gerekan	zaman	1
hewan_zaman	hewan	zaman	1
huru-hara_zaman	huru-hara	zaman	1
ingat_zaman	ingat	zaman	1
ini_zaman	ini	zaman	1
istilah_zaman	istilah	zaman	1
jadul_zaman	jadul	zaman	1
kala_zaman	kala	zaman	1
kalau_zaman	kalau	zaman	1
kampanye_zaman	kampanye	zaman	1
kan_zaman	kan	zaman	1
kecenderungan_zaman	kecenderungan	zaman	1
kecil_zaman	kecil	zaman	1
kehidupan_zaman	kehidupan	zaman	1
kemanjuan_zaman	kemanjuan	zaman	1
kemauan_zaman	kemauan	zaman	1
kembali_zaman	kembali	zaman	1
kemerdekaan_zaman	kemerdekaan	zaman	1
kepada_zaman	kepada	zaman	1
ker-tas_zaman	ker-tas	zaman	1
keting-galan_zaman	keting-galan	zaman	1
keuangan_zaman	keuangan	zaman	1
khususnya_zaman	khususnya	zaman	1
kini_zaman	kini	zaman	1
kisah_zaman	kisah	zaman	1
komikus_zaman	komikus	zaman	1
kondisi_zaman	kondisi	zaman	1
konsentrasi_zaman	konsentrasi	zaman	1
kuno_zaman	kuno	zaman	1
lain_zaman	lain	zaman	1
macam_zaman	macam	zaman	1
makam_zaman	makam	zaman	1
manusia_zaman	manusia	zaman	1
masehi_zaman	masehi	zaman	1
masih_zaman	masih	zaman	1
maupun_zaman	maupun	zaman	1
medali_zaman	medali	zaman	1
melewati_zaman	melewati	zaman	1
memahami_zaman	memahami	zaman	1
memang_zaman	memang	zaman	1
mengalami_zaman	mengalami	zaman	1
mengarus_zaman	mengarus	zaman	1
mengingatkan_zaman	mengingatkan	zaman	1
mengungkapkan_zaman	mengungkapkan	zaman	1
menjelaskan_zaman	menjelaskan	zaman	1
menolak_zaman	menolak	zaman	1
menunjukkan_zaman	menunjukkan	zaman	1
menyatakan_zaman	menyatakan	zaman	1
menyebutnya_zaman	menyebutnya	zaman	1
menyesuaikan_zaman	menyesuaikan	zaman	1
meski_zaman	meski	zaman	1
mobil-mobil_zaman	mobil-mobil	zaman	1
modernisasi_zaman	modernisasi	zaman	1
muda-mudi_zaman	muda-mudi	zaman	1
mulai_zaman	mulai	zaman	1
mungkin_zaman	mungkin	zaman	1
nabi-nabi_zaman	nabi-nabi	zaman	1
nilai-nilai_zaman	nilai-nilai	zaman	1
orang_zaman	orang	zaman	1
ordansi_zaman	ordansi	zaman	1
order_zaman	order	zaman	1
otak_zaman	otak	zaman	1
padi_zaman	padi	zaman	1
panggilan_zaman	panggilan	zaman	1
paradigma_zaman	paradigma	zaman	1
pe-ninggalan_zaman	pe-ninggalan	zaman	1
pejuang_zaman	pejuang	zaman	1
pejuang-pejuang_zaman	pejuang-pejuang	zaman	1
pemerintah_zaman	pemerintah	zaman	1
pendidikan_zaman	pendidikan	zaman	1
penting_zaman	penting	zaman	1
penyakit_zaman	penyakit	zaman	1
penyakit-penyakit_zaman	penyakit-penyakit	zaman	1
peperangan_zaman	peperangan	zaman	1
peradaban_zaman	peradaban	zaman	1
perekembangan_zaman	perekembangan	zaman	1
pergantian_zaman	pergantian	zaman	1
pergerakan_zaman	pergerakan	zaman	1
pergumulan_zaman	pergumulan	zaman	1
perjuangan_zaman	perjuangan	zaman	1
permulaan_zaman	permulaan	zaman	1
perompak_zaman	perompak	zaman	1
persenjataan_zaman	persenjataan	zaman	1
