ngram	w1	w2	w3	n
ke_depan_ujarnya	ke	depan	ujarnya	15
masa_depan_daerah	masa	depan	daerah	15
menatap_ke_depan	menatap	ke	depan	15
pekan_depan_pekan	pekan	depan	pekan	15
tahun_depan_katanya	tahun	depan	katanya	15
berharap_ke_depannya	berharap	ke	depannya	14
depan_akan_menjadi	depan	akan	menjadi	14
di_depan_majelis	di	depan	majelis	14
di_depan_peserta	di	depan	peserta	14
dilakukan_pekan_depan	dilakukan	pekan	depan	14
generasi_masa_depan	generasi	masa	depan	14
haji_tahun_depan	haji	tahun	depan	14
melintas_di_depan	melintas	di	depan	14
menjadi_yang_terdepan	menjadi	yang	terdepan	14
partai_ke_depan	partai	ke	depan	14
sampai_di_depan	sampai	di	depan	14
waktu_ke_depan	waktu	ke	depan	14
ada_di_depannya	ada	di	depannya	13
baik_ke_depannya	baik	ke	depannya	13
depan_akan_semakin	depan	akan	semakin	13
depan_dengan_agenda	depan	dengan	agenda	13
depan_sudah_ada	depan	sudah	ada	13
di_depan_kelas	di	depan	kelas	13
di_depan_saya	di	depan	saya	13
hingga_pekan_depan	hingga	pekan	depan	13
itu_di_depan	itu	di	depan	13
jam_ke_depan	jam	ke	depan	13
ke_depan_menjadi	ke	depan	menjadi	13
ke_masa_depan	ke	masa	depan	13
melihat_ke_depan	melihat	ke	depan	13
mulai_musim_depan	mulai	musim	depan	13
mulai_pekan_depan	mulai	pekan	depan	13
supaya_ke_depan	supaya	ke	depan	13
tahun_depan_ada	tahun	depan	ada	13
tahun_depan_dengan	tahun	depan	dengan	13
yakin_ke_depan	yakin	ke	depan	13
adalah_masa_depan	adalah	masa	depan	12
akhir_tahun_depan	akhir	tahun	depan	12
aksi_di_depan	aksi	di	depan	12
awal_bulan_depan	awal	bulan	depan	12
berharap_tahun_depan	berharap	tahun	depan	12
demonstrasi_di_depan	demonstrasi	di	depan	12
dengan_masa_depan	dengan	masa	depan	12
depan_akan_kita	depan	akan	kita	12
depan_bangsa_dan	depan	bangsa	dan	12
depan_gawang_lawan	depan	gawang	lawan	12
depan_generasi_muda	depan	generasi	muda	12
depan_pihaknya_akan	depan	pihaknya	akan	12
depan_saya_akan	depan	saya	akan	12
diharapkan_ke_depan	diharapkan	ke	depan	12
dipasang_di_depan	dipasang	di	depan	12
kami_ke_depan	kami	ke	depan	12
ke_depan_dirinya	ke	depan	dirinya	12
ke_depan_sehingga	ke	depan	sehingga	12
kemelut_di_depan	kemelut	di	depan	12
lini_depan_yang	lini	depan	yang	12
masa_depan_di	masa	depan	di	12
masa_depan_katanya	masa	depan	katanya	12
masa_depan_saya	masa	depan	saya	12
membangun_masa_depan	membangun	masa	depan	12
mengatakan_ke_depan	mengatakan	ke	depan	12
pekan_depan_di	pekan	depan	di	12
tahun_depan_karena	tahun	depan	karena	12
tahun_depan_masih	tahun	depan	masih	12
tahun_depan_yang	tahun	depan	yang	12
terkait_masa_depan	terkait	masa	depan	12
terlihat_di_depan	terlihat	di	depan	12
berkumpul_di_depan	berkumpul	di	depan	11
berorasi_di_depan	berorasi	di	depan	11
depan_bangsa_ini	depan	bangsa	ini	11
depan_bisa_lebih	depan	bisa	lebih	11
depan_lebih_baik	depan	lebih	baik	11
depan_majelis_hakim	depan	majelis	hakim	11
di_depan_hukum	di	depan	hukum	11
di_depan_panggung	di	depan	panggung	11
di_depan_ruang	di	depan	ruang	11
di_depan_sebuah	di	depan	sebuah	11
dilaksanakan_pekan_depan	dilaksanakan	pekan	depan	11
ke_depan_atau	ke	depan	atau	11
ke_depan_juga	ke	depan	juga	11
ke_depan_maka	ke	depan	maka	11
ke_depan_masyarakat	ke	depan	masyarakat	11
ke_depan_para	ke	depan	para	11
ke_depan_saya	ke	depan	saya	11
ke_depan_tandasnya	ke	depan	tandasnya	11
langsung_di_depan	langsung	di	depan	11
masa_depan_lebih	masa	depan	lebih	11
masa_depan_para	masa	depan	para	11
melihat_masa_depan	melihat	masa	depan	11
menatap_masa_depan	menatap	masa	depan	11
mengenai_masa_depan	mengenai	masa	depan	11
menunggu_di_depan	menunggu	di	depan	11
pada_bulan_depan	pada	bulan	depan	11
tahun_depan_dan	tahun	depan	dan	11
tahun_depan_di	tahun	depan	di	11
tahun_depan_untuk	tahun	depan	untuk	11
yang_terdepan_dalam	yang	terdepan	dalam	11
depan_masih_akan	depan	masih	akan	10
depan_sudah_bisa	depan	sudah	bisa	10
di_depan_kita	di	depan	kita	10
