ngram	w1	w2	w3	w4
bebe-rapa_keluarga_yang_datang	bebe-rapa	keluarga	yang	datang
keluarga_yang_datang_pada	keluarga	yang	datang	pada
yang_datang_pada_kami	yang	datang	pada	kami
datang_pada_kami_dan	datang	pada	kami	dan
info_Presiden_akan_datang	info	Presiden	akan	datang
Presiden_akan_datang_janganlah	Presiden	akan	datang	janganlah
akan_datang_janganlah_kita	akan	datang	janganlah	kita
datang_janganlah_kita_bilang	datang	janganlah	kita	bilang
Ada_juga_yang_datang	Ada	juga	yang	datang
juga_yang_datang_Minggu	juga	yang	datang	Minggu
yang_datang_Minggu_pagi	yang	datang	Minggu	pagi
datang_Minggu_pagi_ujarnya	datang	Minggu	pagi	ujarnya
kereta_api_telat_datang	kereta	api	telat	datang
api_telat_datang_dan	api	telat	datang	dan
telat_datang_dan_kemalaman	telat	datang	dan	kemalaman
pemilu_yang_akan_datang	pemilu	yang	akan	datang
dengan_Persma_dia_datang	dengan	Persma	dia	datang
Persma_dia_datang_Sabtu	Persma	dia	datang	Sabtu
dia_datang_Sabtu_pekan	dia	datang	Sabtu	pekan
datang_Sabtu_pekan_lalu	datang	Sabtu	pekan	lalu
Daerah_BKDD_un-tuk_datang	Daerah	BKDD	un-tuk	datang
BKDD_un-tuk_datang_ke	BKDD	un-tuk	datang	ke
un-tuk_datang_ke_aula	un-tuk	datang	ke	aula
datang_ke_aula_kantor	datang	ke	aula	kantor
ongkos_anak_untuk_datang	ongkos	anak	untuk	datang
anak_untuk_datang_latihan	anak	untuk	datang	latihan
untuk_datang_latihan_angkat	untuk	datang	latihan	angkat
datang_latihan_angkat_besi	datang	latihan	angkat	besi
mobil_Toyota_Avanza_datang	mobil	Toyota	Avanza	datang
Toyota_Avanza_datang_dan	Toyota	Avanza	datang	dan
Avanza_datang_dan_menurunkan	Avanza	datang	dan	menurunkan
datang_dan_menurunkan_sejumlah	datang	dan	menurunkan	sejumlah
para_wisatawan_yang_datang	para	wisatawan	yang	datang
wisatawan_yang_datang_ke	wisatawan	yang	datang	ke
yang_datang_ke_Lombok	yang	datang	ke	Lombok
datang_ke_Lombok_menurut	datang	ke	Lombok	menurut
menarik_wisatawan_untuk_datang	menarik	wisatawan	untuk	datang
wisatawan_untuk_datang_terangnya	wisatawan	untuk	datang	terangnya
karena_gol_penyeimbang_datang	karena	gol	penyeimbang	datang
gol_penyeimbang_datang_pada	gol	penyeimbang	datang	pada
penyeimbang_datang_pada_akhir	penyeimbang	datang	pada	akhir
datang_pada_akhir_laga	datang	pada	akhir	laga
pula_masyarakat_yang_datang	pula	masyarakat	yang	datang
masyarakat_yang_datang_ke	masyarakat	yang	datang	ke
yang_datang_ke_MPR	yang	datang	ke	MPR
datang_ke_MPR_menyatakan	datang	ke	MPR	menyatakan
yang_memang_sengaja_datang	yang	memang	sengaja	datang
memang_sengaja_datang_ke	memang	sengaja	datang	ke
sengaja_datang_ke_Monas	sengaja	datang	ke	Monas
datang_ke_Monas_bersama	datang	ke	Monas	bersama
pula_yang_tiba-tiba_datang	pula	yang	tiba-tiba	datang
yang_tiba-tiba_datang_menawarkan	yang	tiba-tiba	datang	menawarkan
tiba-tiba_datang_menawarkan_diri	tiba-tiba	datang	menawarkan	diri
datang_menawarkan_diri_untuk	datang	menawarkan	diri	untuk
Adapun_dari_Indonesia_datang	Adapun	dari	Indonesia	datang
dari_Indonesia_datang_dari	dari	Indonesia	datang	dari
Indonesia_datang_dari_berbagai	Indonesia	datang	dari	berbagai
datang_dari_berbagai_kota	datang	dari	berbagai	kota
Adapun_pasien_yang_datang	Adapun	pasien	yang	datang
pasien_yang_datang_dari	pasien	yang	datang	dari
yang_datang_dari_berbagai	yang	datang	dari	berbagai
datang_dari_berbagai_kalangan	datang	dari	berbagai	kalangan
dan_musik_Kolintang_datang	dan	musik	Kolintang	datang
musik_Kolintang_datang_dari	musik	Kolintang	datang	dari
Kolintang_datang_dari_desa	Kolintang	datang	dari	desa
datang_dari_desa_dan	datang	dari	desa	dan
Kapolres_dan_Dandim_datang	Kapolres	dan	Dandim	datang
dan_Dandim_datang_ke	dan	Dandim	datang	ke
Dandim_datang_ke_rumah	Dandim	datang	ke	rumah
datang_ke_rumah_mereka	datang	ke	rumah	mereka
April_yang_akan_datang	April	yang	akan	datang
anggota_masyarakat_yang_datang	anggota	masyarakat	yang	datang
masyarakat_yang_datang_untuk	masyarakat	yang	datang	untuk
yang_datang_untuk_melaporkan	yang	datang	untuk	melaporkan
datang_untuk_melaporkan_situasi	datang	untuk	melaporkan	situasi
rintangan_dan_hambatan_datang	rintangan	dan	hambatan	datang
dan_hambatan_datang_dan	dan	hambatan	datang	dan
hambatan_datang_dan_pergi	hambatan	datang	dan	pergi
datang_dan_pergi_silih	datang	dan	pergi	silih
yang_memang_khusus_datang	yang	memang	khusus	datang
memang_khusus_datang_ke	memang	khusus	datang	ke
khusus_datang_ke_Pasar	khusus	datang	ke	Pasar
datang_ke_Pasar_untuk	datang	ke	Pasar	untuk
Ada_saja_yang_datang	Ada	saja	yang	datang
saja_yang_datang_membantu	saja	yang	datang	membantu
dari_Kanada_kalau_datang	dari	Kanada	kalau	datang
Kanada_kalau_datang_ke	Kanada	kalau	datang	ke
kalau_datang_ke_Jogja	kalau	datang	ke	Jogja
datang_ke_Jogja_cukurnya	datang	ke	Jogja	cukurnya
Empu_Kuturan_yang_datang	Empu	Kuturan	yang	datang
Kuturan_yang_datang_dari	Kuturan	yang	datang	dari
yang_datang_dari_Jawa	yang	datang	dari	Jawa
datang_dari_Jawa_Timur	datang	dari	Jawa	Timur
konfirmasi_hari_akan_datang	konfirmasi	hari	akan	datang
hari_akan_datang_sehabis	hari	akan	datang	sehabis
akan_datang_sehabis_shalat	akan	datang	sehabis	shalat
datang_sehabis_shalat_Jumat	datang	sehabis	shalat	Jumat
sekitar_warga_yang_datang	sekitar	warga	yang	datang
menghindari_masyarakat_yang_datang	menghindari	masyarakat	yang	datang
masyarakat_yang_datang_membawa	masyarakat	yang	datang	membawa
yang_datang_membawa_proposal	yang	datang	membawa	proposal
datang_membawa_proposal_alias	datang	membawa	proposal	alias
begitu_persen_akan_datang	begitu	persen	akan	datang
persen_akan_datang_lagi	persen	akan	datang	lagi
akan_datang_lagi_untuk	akan	datang	lagi	untuk
datang_lagi_untuk_eksplorasi	datang	lagi	untuk	eksplorasi
kata-kata_itu_tadi_datang	kata-kata	itu	tadi	datang
itu_tadi_datang_sampakkeun	itu	tadi	datang	sampakkeun
tadi_datang_sampakkeun_balik	tadi	datang	sampakkeun	balik
datang_sampakkeun_balik_bahanan	datang	sampakkeun	balik	bahanan
ada_pula_yang_datang	ada	pula	yang	datang
pula_yang_datang_sekadar	pula	yang	datang	sekadar
yang_datang_sekadar_menonton	yang	datang	sekadar	menonton
dari_penyakit_setelah_datang	dari	penyakit	setelah	datang
penyakit_setelah_datang_ke	penyakit	setelah	datang	ke
setelah_datang_ke_sini	setelah	datang	ke	sini
Ada_yang_datang_bergerombol	Ada	yang	datang	bergerombol
yang_datang_bergerombol_yakni	yang	datang	bergerombol	yakni
datang_bergerombol_yakni_beberapa	datang	bergerombol	yakni	beberapa
ada_juga_yang_datang	ada	juga	yang	datang
juga_yang_datang_sendiri-sendiri	juga	yang	datang	sendiri-sendiri
Ada_yang_datang_dan	Ada	yang	datang	dan
yang_datang_dan_pergi	yang	datang	dan	pergi
datang_dan_pergi_ada	datang	dan	pergi	ada
Ada_yang_datang_dari	Ada	yang	datang	dari
yang_datang_dari_Temanggung	yang	datang	dari	Temanggung
datang_dari_Temanggung_Wonosobo	datang	dari	Temanggung	Wonosobo
Ada_yang_datang_dengan	Ada	yang	datang	dengan
yang_datang_dengan_kendaraan	yang	datang	dengan	kendaraan
datang_dengan_kendaraan_roda	datang	dengan	kendaraan	roda
Ada_yang_datang_ke	Ada	yang	datang	ke
yang_datang_ke_saya	yang	datang	ke	saya
datang_ke_saya_sambil	datang	ke	saya	sambil
Ada_yang_datang_membawa	Ada	yang	datang	membawa
yang_datang_membawa_setumpuk	yang	datang	membawa	setumpuk
datang_membawa_setumpuk_kertas	datang	membawa	setumpuk	kertas
pusat_tadi_untuk_datang	pusat	tadi	untuk	datang
tadi_untuk_datang_ke	tadi	untuk	datang	ke
untuk_datang_ke_Minut	untuk	datang	ke	Minut
datang_ke_Minut_dan	datang	ke	Minut	dan
calon_penumpang_sudah_datang	calon	penumpang	sudah	datang
penumpang_sudah_datang_di	penumpang	sudah	datang	di
sudah_datang_di_Stasiun	sudah	datang	di	Stasiun
datang_di_Stasiun_sejal	datang	di	Stasiun	sejal
November_Kabar_duka_datang	November	Kabar	duka	datang
Kabar_duka_datang_dari	Kabar	duka	datang	dari
duka_datang_dari_musisi	duka	datang	dari	musisi
datang_dari_musisi_Astono	datang	dari	musisi	Astono
News_Kabar_duka_datang	News	Kabar	duka	datang
Kabar_duka_datang_dari	Kabar	duka	datang	dari
duka_datang_dari_musisi	duka	datang	dari	musisi
datang_dari_musisi_Astono	datang	dari	musisi	Astono
Adi_Widjaja_datang_ke	Adi	Widjaja	datang	ke
Widjaja_datang_ke_Krangganrejo	Widjaja	datang	ke	Krangganrejo
datang_ke_Krangganrejo_dengan	datang	ke	Krangganrejo	dengan
Adrian_yang_datang_bersama	Adrian	yang	datang	bersama
yang_datang_bersama_guru	yang	datang	bersama	guru
datang_bersama_guru_dan	datang	bersama	guru	dan
Lorensius_Kadobu_pernah_datang	Lorensius	Kadobu	pernah	datang
Kadobu_pernah_datang_ke	Kadobu	pernah	datang	ke
pernah_datang_ke_Sabu	pernah	datang	ke	Sabu
datang_ke_Sabu_Raijua	datang	ke	Sabu	Raijua
sana_dan_ak-an_datang	sana	dan	ak-an	datang
dengan_baik_karena_datang	dengan	baik	karena	datang
baik_karena_datang_dengan	baik	karena	datang	dengan
karena_datang_dengan_damai	karena	datang	dengan	damai
musim_tanam_akan_datang	musim	tanam	akan	datang
tanam_akan_datang_ujar	tanam	akan	datang	ujar
akan_datang_ujar_Adi	akan	datang	ujar	Adi
datang_ujar_Adi_Widjaya	datang	ujar	Adi	Widjaya
dan_Nangkir_nanti_datang	dan	Nangkir	nanti	datang
Nangkir_nanti_datang_aku	Nangkir	nanti	datang	aku
nanti_datang_aku_bisa	nanti	datang	aku	bisa
datang_aku_bisa_terlewat	datang	aku	bisa	terlewat
tidak_akan_ikut_datang	tidak	akan	ikut	datang
biasanya_orang-orang_yang_datang	biasanya	orang-orang	yang	datang
orang-orang_yang_datang_ke	orang-orang	yang	datang	ke
yang_datang_ke_acara	yang	datang	ke	acara
datang_ke_acara_Sangjit	datang	ke	acara	Sangjit
menilai_orang_yang_datang	menilai	orang	yang	datang
orang_yang_datang_ke	orang	yang	datang	ke
yang_datang_ke_Ancol	yang	datang	ke	Ancol
datang_ke_Ancol_juga	datang	ke	Ancol	juga
tahun-tahun_yang_akan_datang	tahun-tahun	yang	akan	datang
banyak_warga_yang_datang	banyak	warga	yang	datang
warga_yang_datang_ke	warga	yang	datang	ke
yang_datang_ke_tempat	yang	datang	ke	tempat
datang_ke_tempat_pemungutan	datang	ke	tempat	pemungutan
Agus_datang_bersama_rombongannya	Agus	datang	bersama	rombongannya
datang_bersama_rombongannya_komunitas	datang	bersama	rombongannya	komunitas
kemudian_yang_bersangkutan_datang	kemudian	yang	bersangkutan	datang
yang_bersangkutan_datang_untuk	yang	bersangkutan	datang	untuk
bersangkutan_datang_untuk_melengkapi	bersangkutan	datang	untuk	melengkapi
datang_untuk_melengkapi_data	datang	untuk	melengkapi	data
sehingga_tidak_sempat_datang	sehingga	tidak	sempat	datang
tidak_sempat_datang_di	tidak	sempat	datang	di
sempat_datang_di_acara	sempat	datang	di	acara
datang_di_acara_tersebut	datang	di	acara	tersebut
nama_Agus_yang_datang	nama	Agus	yang	datang
Agus_yang_datang_merupakan	Agus	yang	datang	merupakan
yang_datang_merupakan_hasil	yang	datang	merupakan	hasil
datang_merupakan_hasil_penjaringan	datang	merupakan	hasil	penjaringan
Ahok_datang_dengan_mengenakan	Ahok	datang	dengan	mengenakan
datang_dengan_mengenakan_batik	datang	dengan	mengenakan	batik
Ahok_datang_ke_Mabes	Ahok	datang	ke	Mabes
datang_ke_Mabes_Polri	datang	ke	Mabes	Polri
Ahok_datang_menumpang_Toyota	Ahok	datang	menumpang	Toyota
datang_menumpang_Toyota_Kijang	datang	menumpang	Toyota	Kijang
Ahok_datang_tanpa_sepatah	Ahok	datang	tanpa	sepatah
datang_tanpa_sepatah_kata	datang	tanpa	sepatah	kata
misteri_kali_ini_datang	misteri	kali	ini	datang
kali_ini_datang_dari	kali	ini	datang	dari
ini_datang_dari_Gubernur	ini	datang	dari	Gubernur
datang_dari_Gubernur_DKI	datang	dari	Gubernur	DKI
warga_yang_sudah_datang	warga	yang	sudah	datang
yang_sudah_datang_ke	yang	sudah	datang	ke
sudah_datang_ke_Rumah	sudah	datang	ke	Rumah
datang_ke_Rumah_Lembang	datang	ke	Rumah	Lembang
Ahok_menegaskan_akan_datang	Ahok	menegaskan	akan	datang
menegaskan_akan_datang_meski	menegaskan	akan	datang	meski
akan_datang_meski_hari	akan	datang	meski	hari
datang_meski_hari_ini	datang	meski	hari	ini
akrab_Gubernur_Basuki_datang	akrab	Gubernur	Basuki	datang
Gubernur_Basuki_datang_sekitar	Gubernur	Basuki	datang	sekitar
Basuki_datang_sekitar_pukul	Basuki	datang	sekitar	pukul
datang_sekitar_pukul_ke	datang	sekitar	pukul	ke
DKI_yang_akan_datang	DKI	yang	akan	datang
coklat_lengan_panjang_datang	coklat	lengan	panjang	datang
lengan_panjang_datang_pada	lengan	panjang	datang	pada
panjang_datang_pada_pukul	panjang	datang	pada	pukul
datang_pada_pukul_WIB	datang	pada	pukul	WIB
bencana_akan_terus_datang	bencana	akan	terus	datang
Air_datang_ke_pemukiman	Air	datang	ke	pemukiman
datang_ke_pemukiman_warga	datang	ke	pemukiman	warga
mengundang_hiu_paus_datang	mengundang	hiu	paus	datang
hiu_paus_datang_untuk	hiu	paus	datang	untuk
paus_datang_untuk_makan	paus	datang	untuk	makan
ikan_besar_yang_datang	ikan	besar	yang	datang
besar_yang_datang_saat	besar	yang	datang	saat
yang_datang_saat_kita	yang	datang	saat	kita
datang_saat_kita_menyelam	datang	saat	kita	menyelam
Ajakan_ini_datang_dari	Ajakan	ini	datang	dari
ini_datang_dari_Tokoh	ini	datang	dari	Tokoh
datang_dari_Tokoh_Agama	datang	dari	Tokoh	Agama
lebih_besar_akan_datang	lebih	besar	akan	datang
besar_akan_datang_ke	besar	akan	datang	ke
akan_datang_ke_dewan	akan	datang	ke	dewan
banyaknya_peserta_yang_datang	banyaknya	peserta	yang	datang
peserta_yang_datang_dari	peserta	yang	datang	dari
yang_datang_dari_luar	yang	datang	dari	luar
datang_dari_luar_Kota	datang	dari	luar	Kota
apakah_Dylan_akan_datang	apakah	Dylan	akan	datang
Akan_banyak_yang_datang	Akan	banyak	yang	datang
banyak_yang_datang_ke	banyak	yang	datang	ke
yang_datang_ke_Bintan	yang	datang	ke	Bintan
datang_ke_Bintan_ujar	datang	ke	Bintan	ujar
dari_Eropa_yang_datang	dari	Eropa	yang	datang
Eropa_yang_datang_ke	Eropa	yang	datang	ke
yang_datang_ke_Minahasa	yang	datang	ke	Minahasa
datang_ke_Minahasa_yang	datang	ke	Minahasa	yang
suatu_malam_Patai_datang	suatu	malam	Patai	datang
malam_Patai_datang_berkunjung	malam	Patai	datang	berkunjung
turis_yang_akan_datang	turis	yang	akan	datang
yang_akan_datang_jika	yang	akan	datang	jika
akan_datang_jika_infrastruktur	akan	datang	jika	infrastruktur
datang_jika_infrastruktur_jalan	datang	jika	infrastruktur	jalan
tamu_yang_akan_datang	tamu	yang	akan	datang
yang_akan_datang_nanti	yang	akan	datang	nanti
akan_datang_nanti_mencemooh	akan	datang	nanti	mencemooh
datang_nanti_mencemooh_Kota	datang	nanti	mencemooh	Kota
keuntungan_yang_hanya_datang	keuntungan	yang	hanya	datang
yang_hanya_datang_hari	yang	hanya	datang	hari
hanya_datang_hari_Senin	hanya	datang	hari	Senin
yang_bersangkutan_tidak_datang	yang	bersangkutan	tidak	datang
bersangkutan_tidak_datang_untuk	bersangkutan	tidak	datang	untuk
tidak_datang_untuk_memberikan	tidak	datang	untuk	memberikan
datang_untuk_memberikan_keterangan	datang	untuk	memberikan	keterangan
saja_tawaran_itu_datang	saja	tawaran	itu	datang
tetapi_saya_tidak_datang	tetapi	saya	tidak	datang
saya_tidak_datang_setiap	saya	tidak	datang	setiap
tidak_datang_setiap_hari	tidak	datang	setiap	hari
datang_setiap_hari_karena	datang	setiap	hari	karena
tahun_yang_akan_datang	tahun	yang	akan	datang
yang_akan_datang_permintaan	yang	akan	datang	permintaan
akan_datang_permintaan_akan	akan	datang	permintaan	akan
datang_permintaan_akan_meningkat	datang	permintaan	akan	meningkat
beberapa_kali_tidak_datang	beberapa	kali	tidak	datang
kali_tidak_datang_dan	kali	tidak	datang	dan
tidak_datang_dan_pelanggaran	tidak	datang	dan	pelanggaran
datang_dan_pelanggaran_tersebut	datang	dan	pelanggaran	tersebut
ini_setiap_pencobaan_datang	ini	setiap	pencobaan	datang
setiap_pencobaan_datang_Tuhan	setiap	pencobaan	datang	Tuhan
pencobaan_datang_Tuhan_tidak	pencobaan	datang	Tuhan	tidak
datang_Tuhan_tidak_pernah	datang	Tuhan	tidak	pernah
binatang_yang_selalu_datang	binatang	yang	selalu	datang
yang_selalu_datang_mengganggu	yang	selalu	datang	mengganggu
selalu_datang_mengganggu_petani	selalu	datang	mengganggu	petani
ada_perwakilan_Waytuba_datang	ada	perwakilan	Waytuba	datang
perwakilan_Waytuba_datang_dan	perwakilan	Waytuba	datang	dan
Waytuba_datang_dan_memberi	Waytuba	datang	dan	memberi
datang_dan_memberi_kepastian	datang	dan	memberi	kepastian
luar_daerah_yang_datang	luar	daerah	yang	datang
daerah_yang_datang_ke	daerah	yang	datang	ke
yang_datang_ke_Manado	yang	datang	ke	Manado
datang_ke_Manado_para	datang	ke	Manado	para
kami_berdelapan_bersedia_datang	kami	berdelapan	bersedia	datang
berdelapan_bersedia_datang_dan	berdelapan	bersedia	datang	dan
bersedia_datang_dan_membawa	bersedia	datang	dan	membawa
datang_dan_membawa_brand	datang	dan	membawa	brand
Akhirnya_kesempatan_itu_datang	Akhirnya	kesempatan	itu	datang
kesempatan_itu_datang_lewat	kesempatan	itu	datang	lewat
itu_datang_lewat_sundulan	itu	datang	lewat	sundulan
datang_lewat_sundulan_Brooks	datang	lewat	sundulan	Brooks
saya_memutuskan_untuk_datang	saya	memutuskan	untuk	datang
Akhirnya_saya_langsung_datang	Akhirnya	saya	langsung	datang
saya_langsung_datang_ke	saya	langsung	datang	ke
langsung_datang_ke_BCA	langsung	datang	ke	BCA
datang_ke_BCA_Darmo	datang	ke	BCA	Darmo
masa_yang_akan_datang	masa	yang	akan	datang
truk_sampah_yang_datang	truk	sampah	yang	datang
sampah_yang_datang_ke	sampah	yang	datang	ke
yang_datang_ke_TPA	yang	datang	ke	TPA
datang_ke_TPA_Cipayung	datang	ke	TPA	Cipayung
pastikan_sudah_bisa_datang	pastikan	sudah	bisa	datang
sudah_bisa_datang_Rabu	sudah	bisa	datang	Rabu
bisa_datang_Rabu_sore	bisa	datang	Rabu	sore
datang_Rabu_sore_sebelum	datang	Rabu	sore	sebelum
IRT_langsung_berbondong-bondong_datang	IRT	langsung	berbondong-bondong	datang
langsung_berbondong-bondong_datang_menyerbu	langsung	berbondong-bondong	datang	menyerbu
bersumpah_tak_akan_datang	bersumpah	tak	akan	datang
tak_akan_datang_lagi	tak	akan	datang	lagi
akan_datang_lagi_ke	akan	datang	lagi	ke
datang_lagi_ke_ajang	datang	lagi	ke	ajang
jika_musim_penghujan_datang	jika	musim	penghujan	datang
