ngram	w1	w2	w3	n
perubahan_zaman_nyatanya	perubahan	zaman	nyatanya	2
sampai_akhir_zaman	sampai	akhir	zaman	2
satu_penanda_zaman	satu	penanda	zaman	2
segala_tawaran_zaman	segala	tawaran	zaman	2
seiring_berkembangnya_zaman	seiring	berkembangnya	zaman	2
seiring_perubahan_zaman	seiring	perubahan	zaman	2
sejak_zaman_nabi	sejak	zaman	nabi	2
sejak_zaman_prasejarah	sejak	zaman	prasejarah	2
seperti_pada_zaman	seperti	pada	zaman	2
sesuai_dinamika_zaman	sesuai	dinamika	zaman	2
silam_di_zaman	silam	di	zaman	2
sudah_dari_zaman	sudah	dari	zaman	2
sudah_ketinggalan_zaman	sudah	ketinggalan	zaman	2
sudah_tidak_zaman	sudah	tidak	zaman	2
tanda_akhir_zaman	tanda	akhir	zaman	2
tanda-tanda_akhir_zaman	tanda-tanda	akhir	zaman	2
tanda-tanda_zaman_dan	tanda-tanda	zaman	dan	2
tawaran_zaman_yang	tawaran	zaman	yang	2
tengah_gempuran_zaman	tengah	gempuran	zaman	2
tidak_zaman_lagi	tidak	zaman	lagi	2
yang_pada_zaman	yang	pada	zaman	2
zaman_dahulu_sehingga	zaman	dahulu	sehingga	2
zaman_dahulu_tidak	zaman	dahulu	tidak	2
zaman_dahulu_yang	zaman	dahulu	yang	2
zaman_dan_arus	zaman	dan	arus	2
zaman_dulu_pilih	zaman	dulu	pilih	2
zaman_dulu_tidak	zaman	dulu	tidak	2
zaman_dulu_untuk	zaman	dulu	untuk	2
zaman_kolonial_itu	zaman	kolonial	itu	2
zaman_nyatanya_kita	zaman	nyatanya	kita	2
zaman_orde_lama	zaman	orde	lama	2
zaman_pemerintahan_yang	zaman	pemerintahan	yang	2
zaman_perjuangan_kemerdekaan	zaman	perjuangan	kemerdekaan	2
zaman_sama_kebudayaan	zaman	sama	kebudayaan	2
zaman_sekarang_bisa	zaman	sekarang	bisa	2
zaman_sekarang_sudah	zaman	sekarang	sudah	2
zaman_sekarang_tak	zaman	sekarang	tak	2
zaman_sekarang_toh	zaman	sekarang	toh	2
zaman_sudah_berubah	zaman	sudah	berubah	2
